Country,Boat Number,Helm,Crew,Club,Race 1,Points,Place
GER,7589,Adalbert Kluck,Gerhard Schmidt,,,"2,9",1
GER,7860,Christof Becker,Tim Böger,,,"6,9",2
GER,7584,Bernd Kowalzig,Claus Tiedemann,,,"7,2",3
GER,7548,Hauke Rathjens,Frank Uhlemann,,,"8,5",4
GER,7785,Stefan Pavel,Martin Bernauer,,,19,5
GER,7834,Thomas von der Linde,Jan Schmidt,,,22,6
GER,7817,Meyer,Beneke,,,24,7
GER,7745,Rudolf Baalmann,Ulrike Jansen,,,25,8
GER,7908,Daehne,Kohlboom,,,25,9
GER,7927,Brigitte Preuß,Rolf Bertenrath,,,29,10
GER,6941,Jürgen A. Frommholz,Burghard Vierth,,,40,11
GER,7037,Norman Schlomka,Jens-Peter Schlomka,,,41,12
GER,732*,Petersen,Spangenberg,,,"42,5",13
GER,7327,Albrecht,Abel,,,43,14
GER,4958,Repenning,Repenning,,,"48,5",15
GER,7143,Dirk Schewe,Behrens,,,51,16
GER,6817,Schmidt,Brunssen,,,51,17
