From Sail No,Skipper,Crew,Boat Name,Race 9,Race 8,Race 7,Race 6,Race 5,Race 4,Race 3,Race 2,Race 1,Sers Score,Place
GER 8675,Volker Goerge,Friederichs Hartwig,Graue Maus,57*,39,53,54,55*,50,49,41,48,334,51
AUS 8557,Neil Long,Les Evans,Whatever,69*,64,62,43,71*,56,58,24,29,336,52
AUS 8785,Ian Burford,Wayne Boyd,SS Cardsharks,56,53,36,45,54,57*,48,44,64*,336,53
GBR 8925,Martin Wedge,Scott Allen,,48,42,59,82*,45,65*,60,40,42,336,54
AUS 8876,Chris Tattersall,Greg Clarke,,53,56,51,70*,41,49,62*,48,39,337,55
AUS 8648,Jeff Robinson,Mick O'Donnell,eziboats.com,47,45,65,60,57,44,36,93F*,93F*,354,56
POL 7539,Jakub Pawluk,Piotr Żółtowski,ADHD,55,58,50,38,53,63*,65*,57,61,372,57
ITA 8817,Marco Gambardella,Gabriele Cortegiani,Cut Snake,54,60,58,85*,50,69*,55,45,51,373,58
ZIM 8445,Patrick McCosh,David Horsfall,Big Red Todger,45,63,56,49,47,51,64,93F*,93F*,375,59
AUS 8795,Martin Pike,Dan Cowan,Sleek,43,59,93Q*,77*,62,58,67,54,34,377,60
AUS 8864,Hamish Jarrett,Chris Pearson,,62,68,72*,29,61,53,71*,58,47,378,61
USA 8786,Hubert Guy,Steve Adolph,,35,73*,63,55,70,55,44,93F*,59,381,62
FIN 8746,Raimo Raita,Juha Nurmela,Panther,61,55,55,57,51,60,45,93S*,93S*,384,63
AUS 8760,Peter Woolman,Phil Webb,2 Minute Noodles,72,54,52,53,64,73*,40,93S*,52,387,64
AUS 8811,Matthew Hansen,Shane Attwell,Crimson Autograph,59,57,45,67*,67*,64,63,50,57,395,65
AUS 8278,Luke Payne,Ben Davis,Valkyrie,70,49,60,44,72*,62,77*,53,62,400,66
USA 7873,Mark Dowdy,Jason Bright,Floyd,60,69,61,72*,68,74*,61,39,54,412,67
GBR 8885,Ben Iliffe,Simon Lake,,93S,65,68,62,56,39,66,93S*,93F*,449,68
RSA 8707,Albrecht Holm,Warwick Ham,Aitsa,46,70,78,61,63,93Q*,72,63,93Q*,453,69
USA 8577,Bruce Van Deventer,Scott Weiler,Plum Crazy,65,77,80*,58,60,54,76,64,93F*,454,70
AUS 8092,Bill Travis,Warren Cosh,Swift,64,62,70,64,73*,71,73*,56,67,454,71
AUS 8501,Heath Patten,Nick Merker,TSTOY Windscreen,67,75,69,78*,89*,72,53,66,56,458,72
AUS 8173,Bob Fussell,Jeremy Fussell,Fussbus,63,66,73,65,85*,66,69,93F*,68,470,73
GER 8418,Jan Sell,Wiebke Gewinn,,66,89,71,56,66,59,74,93S*,93F*,481,74
AUS 8589,Annabel Jones,Brian Jones,Ross Island,68,74,82*,79,75,68,79*,60,66,490,75
AUS 8637,Sam Cronin,Kevin Whitbread,Blowflies,74,84,87*,69,79,79,84*,52,55,492,76
AUS 8040,Robbin Cross,Mark Paparella,A Cunning Plan,83*,76,67,74,69,67,82,61,93F*,496,77
GBR 8907,Jim Berry,Carl Gibbon,Zimmerjim,75,71,66,63,74,76,75,93S*,93F*,500,78
RSA 8789,Tony Murray,Karl Kuhn,Flobalob,80,81,85*,66,84,75,93F*,62,58,506,79
USA 8808,Evert Meyer,Matt Kennerknecht,The Regurgitator,73,79,75,59,81,78,70,93S*,93S*,515,80
AUS 8602,Kym Campion,Charlie Longbottom,Makybe Diva,93S*,93S*,89,75,78,84,78,55,60,519,81
AUS 8292,Mark Scrymgour,Liam McMahon,Zooom,71,87*,84,84,86*,81,85,65,65,535,82
AUS 8765,Greg Illman,Andrew Slater,Into the Red,78,82,81,83,76,77,83*,59,93F*,536,83
AUS 7830,Jake Flintoff,Jesse Flintoff,Stiff Ripples,76,78,77,71,87,70,81,93S*,93S*,540,84
AUS 8803,Ian Bryden,James Bryden,Don't Ask,93S,93S,93S,93S,93S*,80,43,93S*,63,558,85
CAN 8755,Brian Trainor,Karl Oswald,Banshee,93S,72,74,73,82,82,86,93S*,93S*,562,86
AUS 7983,David Johnson,Grahame Tindall,Absolutely Fugly,77,88,76,80,77,87,80,93S*,93F*,565,87
USA 8647,Hank Henry,Mike Zimmerman,Liberator,79,83,79,87,80,85,88,93S*,93S*,581,88
AUS 7338,Paul Greenhalgh,Jeff Keogh,Bluebeard,81,85,83,76,88,86,87,93S*,93S*,586,89
GBR 8435,Patrick McGale,Marcus Korobacz,,93S,80,88,86,83,83,93F,93S*,93S*,606,90
AUS 6765,Peter Croft,Gary Rushton,Infrared,82,86,86,88,90,88,89,93F*,93F*,609,91
GER 8728,Meiki Schomaeker,Rainer Görge,XY,93S,93S,93S,93S,93S,93S,93S,93S*,93S*,651,92
