Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Punkte,Pl.
USA,8714,Mike Martin,Jesse Falsone,,7,2,1,1,10,3,,1
USA,8266,Howard Hamlin,Ami Lanzinger,NHYC,1,9,8,6,3,1,,2
GBR,8882,Ian Pinnell,Carl Gibbons,GWSC,4,18,7,5,2,12,,3
USA,8081,Nick Adamson,Steve Bourdow,,8,10,2,2,12,21,,4
AUS,8920,Michael Quirk,Geoff Lange,MHYC,11,8,5,13,14,5,,5
USA,8822,Mike Holt,Carl Smit,,17,26,4,3,6,14,,6
GER,8875,Jens Findel,Johannes Tellen,KYC,3,4,19,10,9,25,,7
USA,8554,Douglas Hagan,Michael Duffield,,9,1,13,18,5,34,,8
GER,8903,Boris Herrmann,Julien Kleiner,ZSK,14,15,11,4,17,2,,9
DEN,8620,Jan Saugmann,Morten Ramsbæk,HiS,20,5,16,28,4,9,,10
AUS,8922,Bill Cuneo,Luke White,,10,17,20,26,1,7,,11
USA,7771,Ami Taugher,Ami Trip,,32,7,9,14,7,23,,12
AUS,8839,Sandy Higgins,Paul Marsh,,16,6,15,9,16,17,,13
AUS,8921,Nigel Lott,Robert Franks,RQYS,6,16,10,15,30,15,,14
USA,8631,Parker Shinn,David Williams,SD YC,21,13,3,22,18,8,,15
SWE,8232,Ebbe Rosen,Olle Wenrup,Mai Arhojd,2,19,28,DNF,11,4,,16
DEN,8826,Tom Bøjland,Jakob Karbo,Farum,5,11,26,19,13,28,,17
AUS,8877,Robin Duessen,Jordan Spencer,,13,3,17,DNF,20,26,,18
GER,8915,Hasso Plattner,Peter Alarie,KYC,25,20,6,21,32,11,,19
AUS,8784,Adrian Finglas,Tom Watson,,26,22,14,7,23,22,,20
AUS,8853,Carter Jackson,Ian Nicholson,MHYC,18,30,23,16,15,18,,21
AUS,8644,Phil Gray,Richard Machin,,19,12,21,8,35,36,,22
AUS,8782,Andrew Hewson,Frank Karlovecz,,22,23,36,12,24,24,,23
USA,8919,Neal Fowler,Douglas McKeige,,15,29,24,DNF,25,19,,24
AUS,8855,Mark Stowell,Anthony Dean,,DNF,21,31,20,22,32,,25
AUS,8781,Earle Alexander,Ian Gregg,RQYS,38,14,DNF,11,26,38,,26
AUS,8891,Michael Thomson,Nick Johnston,,27,24,12,DNF,27,39,,27
USA,8643,Barney Harris,Stuart Park,,28,38,22,27,40,16,,28
