Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
GER,8*,Wolfgang Hunger,Julien Kleiner,KYC,2*,1,1,1,3,1
GER,8728,Martin Gorge,Rainer Gorge,KYC,1,4*,3,3,7,2
GER,8929,Tom Gosch,Rolf Meier,WSCW,5,7*,2,2,9,3
GER,8806,Lutz Stengel,Frank Feller,ROYC,4,2,6*,6,12,4
GER,898*,Stefan Bohm,Gerald Roos,SCV,3,6,9*,4,13,5
GER,9028,Stefan Köchlin,Carsten Engel,SVS,6,3,5,9*,14,6
GER,9020,Tim Boger,Markus Schöner,HSC,10,5,4,34 DNF*,19,7
GER,9029,Jurgen Waldheim,Thomas Jung,PVC,9,8,8,34 DNF*,25,8
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,7,10,12,34 DNF*,29,9
GER,8940,Jorg Thumann,Oliver Stieglitz,HSC,11,11,7,34 DNF*,29,10
GER,8825,Michael Troch,Eckart Konig,SUN,12,34 DNF*,11,7,30,11
GER,8669,Florian Kemper,Wolf Jeschonnek,NRV,16*,12,10,8,30,12
GER,8843,Anna Lang,Lars Dehne,WVH,14,13,13,34 DNF*,40,13
GER,8317,Hartwig Friederichs,Antje Gosch,WSCW,18,9,15,34 DNF*,42,14
GER,8775,Jan Sell,Wiebke Gewinn,SVVS,17,14,16,34 DNF*,47,15
GER,8741,Jürgen Anton,Ulf Denecke,HSC,13,ID,21,34 DNF*,52,16
GER,8619,Steve Kwee,Hans-J. Rentelman,HSC,19,15,20,34 DNF*,54,17
GER,8663,Claus Heschen,Stefan Schmidt,SVSB,8,34 OCS*,14,34 DNF,56,18
GER,8483,Melanie Kohlhoff-Horstmann,Christine Wegner,KYC,21,34 DNF*,34 DNF,5,64,19
GER,7861,Katharina Menge,Henning Ries,OSG,20,19,22,34 DNF*,61,20
GER,8550,Martha Hauschild,Michael Heyder,SCS,15,34 OCS*,18,34 DNF,67,21
GER,8932,Christian Henge,Matthias Fedde,OSG,34 DNF*,17,17,34 DNF,68,22
GER,8664,Nicholas Melzwig,Michaela Melzwig,LRV,34 DNF*,16,19,34 DNF,69,23
GER,6767,Markus Hintz,John Christiansen,HSC,34 DNF*,34 DNF,34 DNF,34 DNF,102,24
GER,6817,Ralf Schneidewind,Christoph Rahn,SLRV,34 DNF*,34 DNF,34 DNF,34 DNF,102,24
GER,7046,Thomas Bother,Mane Beier,MWHV,34 DNF*,34 DNF,34 DNF,34 DNF,102,24
GER,8049,Matthias Tellen,Moritz Lüther,RSC,34 DNF*,34 DNF,34 DNF,34 DNF,102,24
GER,8493,Boris Baltzer,Karin Baltzer,hsc,34 DNF*,34 DNF,34 DNF,34 DNF,102,24
GER,8531,Anna Hauschild,Maximiliane Kempermann,SCS,34 DNF*,34 DNF,34 DNF,34 DNF,102,24
GER,8634,Matte Beilken,Gerrit Haaland,SXWB,34 DNF*,34 DNF,34 DNF,34 DNF,102,24
GER,8991,Rorben Koch,Eric Bellstedt,SVSB,34 DNF*,34 DNF,34 DNF,34 DNF,102,24
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,34 DNF*,34 DNF,34 DNF,34 DNF,102,24
GER,8500,Katja Henge,Jens Kühne,OSC,34 DNF*,34 DNF,34 DNF,34 DNF,102,24
