,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
GER,8843,Helen Fischer,Lars Dehne,BYC,1,1,1,1,2,2,,1
GER,8929,Jürgen Waldheim,Thomas Jung,PYC,2,2,3,2,3,1,,2
GER,8874,Norbert Dasenbrook,Sven Meier,KSW,5,5,4,4,1,3,,3
GER,8825,Michael Troch,Eckart König,SGJ,4,3,2,5,4,DNF,,4
GER,8940,Jörg Thumann,Oliver Stieglitz,TuSJ,3,4,6,3,5,4,,5
GER,8657,Georg Neulen,Peter Gerdts,WYCA,6,6,5,DNF,7,6,,6
GER,8480,Marc Köster,Kai Homes,BSV-AT,10,10,10,7,6,5,,7
GER,8482,Christian Lempp,Max Rauner,HSC,7,9,9,8,9,8,,8
GER,8392,Konrad Barop,Georg Mittermayer,RSV,DNC,8,7,6,8,DNC,,9
GER,8049,Matthias Tellen,Moritz Lüther,RSC,8,7,8,DNC,DNC,DNC,,10
GER,8414,Björn Janssen,Mathias Kaiser,DSCL,DNF,DNC,DNC,DNC,10,7,,11
GER,8849,Pedro Bohnenberger,Thorsten Pieper,SCIA,9,11,DNC,DNC,DNC,DNC,,12
