,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,8669,Florian Kemper,Michael Krause,NRV,3,3,1,5,1,,1
GER,9020,Tim Böger,Markus Schöner,HSC,2,1,2,3,6,,2
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,5,4,3,2,4,,3
GER,8721,Sophie Heyer,Sebastian Salein,JSC,1,2,6,12,9,,4
GER,8656,Kurt Reincke,Carsten Hehl,HSC,12,5,12,1,2,,5
GER,8989,Andreas Jungclaus,Arne Lanatowitz,HSC,7,6,7,6,3,,6
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,4,7,4,10,7,,7
GER,8775,Jan Sell,Axel Priegann,TUSF,6,10,8,4,5,,8
GER,8478,Walter Steding,Hans-Werner Steding,HSC,9,11,5,11,10,,9
GER,8619,Steve Kwee,Thorsten Spötter,HSC,10,8,10,9,8,,10
GER,8741,Jürgen Anton,Ulf Denecke,HSC,8,12,OCS,8,11,,11
GER,8665,Thomas Tschentscher,Jerome Gaudin,HSC,14,9,OCS,7,15,,12
GER,8480,Marc Köster,Christoph Köster,BSV-AT,11,14,9,13,14,,13
GER,8932,Christian Henge,Matthias Fedde,OSG,13,13,14,14,16,,14
GER,8730,Iris Anton,Birgit Hartmann,HSC,18,16,11,15,13,,15
GER,8999,Karsten Stümpel,Jens Hufnagel,HSC,16,15,DNF,16,12,,16
GER,7861,Katharina Menge,Henning Ries,OSG,17,17,13,19,21,,17
GER,8500,Jens Kühne,Katja Henge,OSG,21,21,15,17,17,,18
GER,6767,Markus Hintz,John Christiansen,HSC,15,18,16,23,23,,19
GER,8433,Patrick Ziegelmueller,Volker Gropp,HSC,20,20,DNF,18,18,,20
GER,8482,Christian Lempp,Christina Burger,HSC,19,19,DNF,20,19,,21
GER,6817,Ralf Schneidewind,Uta Pohland,KSC,DNC,DNC,DNC,21,20,,22
GER,8051,Jan Koop,Jan Blasko,HSC,DNC,DNC,DNC,22,22,,23
ER,8493,Boris Baltzer,Karin Baltzer,HSC,DNC,DNC,DNC,DNC,24,,24
