,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,8807,Max Weiß,Jonas Vogt,DTYC,1,1,1,3,2,,1
GER,9043,Nicola Birkner,Angela Stenger,SVaW,2,2,2,1,1,,2
GER,8777,Thoralf Greger,Stefan Schollmayer,ASVG,3,4,3,2,DNC,,3
GER,8849,Pedro Bohnenberger,Jochen Heydolph,SCIA,7,3,5,7,3,,4
GER,8702,Martin Handel,Albrecht Maisch,SGK,4,8,4,6,4,,5
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,5,5,6,4,6,,6
GER,9021,Georg Geyer,Claudia Conrads,,6,6,7,5,5,,7
GER,8388,Peter Wolffram,Stephan Ottenschläger,,8,7,8,8,8,,8
GER,8697,Wilfried Stuis,Patrick Behrends,YCN,9,9,9,9,7,,9
GER,8590,Jürgen Ziegler,Matthias Pfister,SCLW,10,10,DNC,DNC,DNC,,10
