,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,8625,Alex Cross,Falko Braun,SCR,1,2,1,1,1,,1
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,2,1,2,2,2,,2
GER,8279,Michael Becker,Florian Hassdenteufel,SCNS,4,3,5,3,3,,3
GER,8327,Dirk Frank,Stefan Kempf,SCS,3,4,3,7,0,,4
FRA,9019,Robert Lehmann,Bernard Edel,ACAL,5,5,DNF,4,5,,5
GER,7778,Frank Walter,Christian Winkel,SCNS,6,8,4,5,OCS,,6
GER,8124,Fabian Kohl,Juliane Kohl,WWSC 70,8,7,7,9,8,,7
GER,8697,Wilfried Stuis,Thorge Holm,YCN,13,6,6,12,9,,8
GER,8424,Claus-Michael Lehr,Christine Schaal-Lehr,SCNS,12,10,8,6,10,,9
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,11,9,11,10,7,,10
GER,8751,Andreas Roller,Maximilian Roller,Hei SC,14,11,9,DNC,4,,11
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,9,14,DNF,11,6,,12
GER,8458,Marius Brill,Max Quentmeier,SYR,10,13,10,8,12,,13
GER,8670,Theo Kohl,Birgit Kohl,WWSC 70,7,12,DNF,13,11,,14
