,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,Platz
GER,9040,Meike Schomäker,Holger Jess,ZSK,2,3,1,2,1,6,7,,1
GER,8806,Lutz Stengel,Frank Feller,ROYC,6,2,15,1,3,2,4,,2
GER,8721,Sophie Heyer,Sebastian Salein,JSC,5,14,5,5,2,5,2,,3
GER,9027,Wolfgang Hunger,Julien Kleiner,PYC,13,1,7,3,4,11,3,,4
GER,8669,Florian Kemper,Michael Krause,NRV,9,32,2,14,8,4,5,,5
GER,8849,Moritz Bohnenberger,Bastian Henning,DTYC,4,4,3,19,9,14,8,,6
GER,8728,Martin Görge,Rainer Görge,TSVS,14,8,13,7,7,10,1,,7
GER,8974,Nicola Birkner,Angela Stenger,SVaW,3,16,4,4,5,20,18,,8
GER,8947,Volker Niedik,Stefan Heising,BSV,7,6,14,11,11,12,10,,9
GER,8958,Stefan Böhm,Gerald Roos,SCV,29,11,17,6,12,1,12,,10
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,1,18,27,12,14,15,6,,11
GER,8875,Jens Findel,Frank Weigelt,KYC,8,15,20,9,16,8,11,,12
GER,8929,Tom Gosch,Rolf Meyer,ENSFV,28,5,6,21,6,16,14,,13
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,12,12,30,23,15,3,20,,14
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,21,36,11,13,10,17,13,,15
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,22,10,9,31,13,19,15,,16
GER,8651,Christian Kellner,Martin Schöler,HSC,20,24,12,10,18,7,22,,17
GER,9028,Stefan Köchlin,Andreas Achterberg,SKF,17,23,10,27,17,13,9,,18
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,15,19,8,18,19,28,19,,19
GER,8874,Norbert Dasenbrook,Sven Meier,KSW,10,7,29,25,22,23,16,,20
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,19,21,26,16,20,9,21,,21
GER,9020,Tim Böger,Markus Schöner,HSC,24,33,25,8,21,21,17,,22
GER,9026,Hasso Plattner,Peter Alarie,KYC,26,13,19,DNC,25,18,32,,23
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,25,17,23,22,27,25,24,,24
GER,8693,Florian Lautenschläger,Benedikt Schulte,DTYC,27,9,22,20,32,38,29,,25
DEN,8656,Henrik Buhl,Morten S. Andersen,FSDK,11,28,18,36,23,31,28,,26
GER,8505,Florian Duwe,Marc Helms,TSC,18,20,21,17,33,35,30,,27
GER,8825,Michael Troch,Eckart König,SGJ,30,27,24,15,26,26,26,,28
GER,8563,Stefan Schmidt,Klaus Heeschen,SVSS,16,34,31,26,28,36,25,,29
GER,8672,Karsten Contag,Guido von Walter,SCLW,36,29,16,33,24,29,35,,30
GER,8929,Jürgen Waldheim,Thomas Jung,PYC,34,22,34,29,34,22,36,,31
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,23,31,28,32,29,32,34,,32
GER,8625,Alex Cross,Falko Braun,SCR,32,35,32,28,36,33,27,,33
GER,8843,Bernd Rasenack,Lars Dehne,ZSK,33,26,DNC,DNC,31,27,23,,34
GER,8550,Martha Hauschild,Michael Heyder,SCS,38,43,33,24,30,34,39,,35
GER,8972,Ronald Roos,Morten Roos,SVWu,31,38,37,43,3,24,33,,36
GER,8513,Sven Dömges,Andreas Happich,ESV86,40,39,40,34,37,30,31,,37
GER,8744,Lutz Kandzia,Martin Deutscher,ASV,37,41,36,30,40,42,42,,38
GER,8530,Alexander von Mertens,Martin Maal,StSC,44,25,39,40,42,46,40,,39
GER,8480,Marc Köster,Christoph Köster,BSV-AT,35,37,44,35,41,41,44,,40
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,39,40,35,41,43,43,37,,41
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,42,42,41,37,38,40,48,,42
GER,9000,Enno Wilts,Jan Wiechmann,SVBB,41,44,38,44,39,37,47,,43
GER,8634,Beilken Matze,Gerrit Haaland,SKWB,45,30,45,DNC,46,44,45,,44
GER,8932,Christian Henge,Katja Henge,OSG,48,DNF,46,39,44,39,41,,45
GER,8528,Andre Tirre,Frank Wille,YCS,47,BFD,43,38,45,45,38,,46
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,43,46,42,42,48,47,43,,47
GER,8991,Torben Koch,Horst Sjuts,SVSS,46,45,DNC,DNC,47,49,46,,48
GER,8666,Michael Kurzeja,Julius Jacoby,BYC,49,47,47,45,49,48,49,,49
