,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Sum,Platz
GER,8741,Jürgen Anton,Thomas Tschentscher,HSC,1,3,4,1
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,4,2,6,2
GER,9020,Tim Böger,Markus Schöner,HSC,6,1,7,3
GER,8728,Martin Görge,Lotta Görge,TSVS,2,6,8,4
GER,8669,Florian Kemper,Michael Krause,NRV,3,5,8,5
GER,9054,Helen Fischer,Lars Dehne,BYC,5,4,9,6
GER,8988,Oliver Thies,Christoph Engel,,7,9,16,7
GER,8662,Jan Stölken,Matthias Brühl,SCU,10,7,17,8
GER,8619,Steve Kwee,Thorsten Spötter,HSC,8,13,21,9
GER,8991,Michael Köritz,Horst Sjuts,USCO,12,1,13,10
GER,6817,Ralf Schneidewind,Alena-Larissa Wilkens,KSC,15,8,23,11
GER,8609,Jörn Wille,Martin Bergmann,MSC,11,12,23,12
GER,8335,Hans-Jürgen Rentelmann,Jens Krause,BSC,13,11,24,13
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,9,16,25,14
GER,8932,Christian Henge,Matthias Fedde,OSG,14,23,37,15
GER,8513,Sven Dömges,Johannes Brack,ESV86,18,19,37,16
GER,8480,Marc Köster,Christoph Köster,BSV-AT,21,17,38,17
GER,7674,Dirk Frischmuth,Hendrik Dilger,HSC,17,21,38,18
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,19,2,21,19
GER,8482,Christian Lempp,Birgit Hartmann,HSC,26,15,41,20
GER,7861,Katharina Menge,Henning Ries,OSG,28,14,42,21
GER,8654,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,16,27,43,22
GER,8297,Mario Tirre,Henry Stoffers,SCZ,22,22,44,23
GER,8051,Andreas Lucko,Jan Koop,HSC,20,26,46,24
GER,8528,Andre Tirre,Frank Wille,YCS,30,18,48,25
GER,7900,Felix Heibeck,Axel Isler,KSW,25,24,49,26
GER,8772,Stephan Ramm,Michael Erhard,NRV,24,25,49,27
GER,8437,Henning Steffen,Tilman Giesen,SLRV,23,29,52,28
GER,6768,Markus Hintz,John Christiansen,HSC,27,3,30,29
GER,8500,Jens Kühne,Katja Henge,OSG,29,28,57,30
GER,8376,Peter Wichtrap,Tobias Frick,,31,32,63,31
GER,8493,Boris Baltzer,Karin Baltzer,HSC,32,33,65,32
DEN,8495,Hein Peters,Carsten Schermer,,DNC 34,31,65,33
