,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Points,Platz
GER,8974,Nicola Birkner,Angela Stenger,SVaW,2,1,2,5,1
GER,9011,Michael Daisenberger,Bastian Henning,DTYC,1,2,3,6,2
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,4,3,4,11,3
GER,8642,Thoralf Greger,Nils Burghard,ASVG,3,7,5,15,4
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,7,4,9,20,5
GER,8625,Alex Cross,Falko Braun,SCR,9,5,10,24,6
GER,8990,Frieder Achterberg,Andreas Achterberg,DTYC,8,8,8,24,7
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,6,OCS 19,1,26,8
GER,9021,Georg Geyer,Claudia Conrads,,10,10,6,26,9
GER,8513,Sven Dömges,Björn Geisler,ESV86,12,6,11,29,10
GER,8530,Alexander von Mertens,Sebastian Dörr,StSC,13,9,7,29,11
GER,8562,Jochen Heydolph,Fabian Martyson,SCLW,5,14,12,31,12
GER,8672,Guido von Walter,Antje von Hoyer,SCLW,15,12,13,40,13
GER,8404,Sebastian Gottschalk,Maximilian Gottschalk,SCR,11,11,DNF 19,41,14
GER,8861,Wolfgang Seifert,Kathrin Müller-Stoy,SCLW,14,13,15,42,15
GER,8697,Wilfried Stuis,Hans Luinge,YCN,17,15,16,48,16
GER,7445,Stefan Müller,Pascal Roquette,WHW,18,17,14,49,17
GER,8598,Anna Höll,Bernd Heinisch,,16,16,17,49,18
