,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,9028,Stefan Köchlin,Andreas Achterberg,SKF,8,1,2,3,,1
GER,8974,Nicola Birkner,Angela Stenger,SVaW,2,4,8,1,,2
GER,8901,Cornelia Oczycz,Wolfgang Stückl,BYC,1,6,3,5,,3
GER,8990,Frieder Achterberg,Holger Jess,DTYC,14,10,1,2,,4
GER,8843,Helen Fischer,Lars Dehne,BYC,7,2,10,8,,5
GER,8642,Thoralf Greger,Nils Burghard,ASVG,3,7,9,7,,6
GER,8519,Robert Wisolek,Katharina Berggren,SCLW,4,13,4,10,,7
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,5,8,7,6,,8
GER,8807,Lukas Emrich,Jonas Vogt,SVW,9,5,5,12,,9
GER,8672,Karsten Contag,Guido von Walter,SCLW,6,3,19,14,,10
GER,9011,Michael Daisenberger,Christian Mack,DTYC,12,9,14,4,,11
GER,8693,Rieke Lautenschläger,Florian Lautenschläger,DTYC,11,12,6,11,,12
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,10,17,12,13,,13
GER,9027,Sven Dömges,Andreas Happich,ESV86,18,15,16,9,,14
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,13,16,13,16,,15
GER,8903,Thorsten Koch,Antje von Hoyer,SCLW,21,11,15,23,,16
GER,8598,Anna Höll,Bernd Heinisch,,22,24,11,20,,17
GER,8861,Wolfgang Seifert,Peter Daferner,SCLW,20,18,21,15,,18
GER,8527,Hartmut Weiß,Kathrin Müller-Stoy,SCLW,25,20,17,17,,19
GER,8473,Oliver Kraft,Frank Heimburger,SSCM,23,19,18,19,,20
GER,8562,Jochen Heydolph,Fabian Martyson,SCLW,17,23,22,18,,21
GER,8697,Wilfried Stuis,Hans Luinge,YCN,24,14,20,26,,22
GER,8404,Sebastian Gottschalk,Maximilian Gottschalk,SCR,16,21,23,21,,23
GER,8530,Alexander von Mertens,Max Hessel,StSC,15,25,24,24,,24
GER,8098,Albrecht Maisch,Frank Letsche,SGK,19,22,25,22,,25
GER,8590,Jürgen Ziegler,Lukas Tanner,SCLW,26,26,27,25,,26
AUT,8663,Andreas Pomianek,Karl Salzberger,YCW,27,27,26,27,,27
