,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
DEN,8964,Jan Saugmann,Morten Ramsbæk,HiS,1,2,1,1,2,,1
DEN,8962,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,2,1,2,5,3,,2
GER,9040,Meike Schomäker,Holger Jess,ZSK,7,3,7,10,1,,3
GER,8875,Jens Findel,Johannes Tellen,KYC,8,4,3,3,11,,4
GER,8728,Martin Görge,Rainer Görge,TSVS,4,6,9,2,16,,5
GER,9028,Stefan Köchlin,Andreas Achterberg,SKF,6,7,6,7,4,,6
GER,9020,Tim Böger,Markus Schöner,HSC,9,5,5,6,17,,7
GER,8957,Wolfgang Hunger,Julien Kleiner,PYC,3,9,10,4,12,,8
GER,8976,Tom Gosch,Rolf Meyer,ENSFV,5,13,4,8,9,,9
GER,8901,Carlo Mäge,Wolfgang Stückl,DTYC,13,10,11,12,5,,10
GER,8874,Norbert Dasenbrook,Sven Meier,KSW,14,11,11,11,8,,11
GER,8744,Jörg Häger,Hans-Heinrich Rix,SCB,10,8,13,15,DNC,,12
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,11,15,16,9,13,,13
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,21,12,19,11,7,,14
GER,8947,Volker Niedik,Stefan Heising,BSV,17,16,8,13,BFD,,15
DEN,8958,Nikolaj Buhl,Henrik Buhl,,18,18,15,19,6,,16
GER,8669,Florian Kemper,Michael Krause,NRV,12,17,14,17,14,,17
GER,8750,Gunter Peters,Steffen Achenbach,,15,14,12,18,DNC,,18
GER,8563,Stefan Schmidt,Thomas Jung,SVSS,16,23,18,14,15,,19
GER,8843,Franziska Unkelbach,Lars Dehne,KYC,19,21,21,16,23,,20
GER,8505,Florian Duwe,Marc Helms,TSC,24,19,17,20,22,,21
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,20,20,DNC,DNC,10,,22
GER,8513,Sven Dömges,Klaus Heeschen,ESV86,22,27,20,21,24,,23
GER,8972,Ronald Roos,Kirsten Roos,SVWu,23,22,22,23,25,,24
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,25,24,25,22,20,,25
GER,9000,Enno Wilts,Peter Gerdts,SVBB,28,25,24,24,19,,26
GER,8483,Melanie Horstmann,Christine Wegner,HSC,27,28,23,25,18,,27
GER,8693,Florian Lautenschläger,Benedikt Schulte,DTYC,26,26,DNC,DNC,21,,28
GER,8622,Hilmer Goedeking,Michael Schöefer,WSV-L,29,29,26,DNC,26,,29
