,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,Platz
GER,8651,Christian Kellner,Angela Stenger,HSC,6,1,1,8,1
GER,8849,Moritz Bohnenberger,Philipp Frisch,DTYC,5,2,2,9,2
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,2,3,7,12,3
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,1,9,5,15,4
GER,8725,Johannes Berggren,Berggren Katharina,SCLW,3,8,8,19,5
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,8,7,4,19,6
GER,8473,Oliver Kraft,Frank Heimburger,SSCM,7,5,9,21,7
GER,8642,Thoralf Greger,Nils Burghard,ASVG,12,10,3,25,8
GER,9011,Michael Daisenberger,Christian Mack,DTYC,11,12,6,29,9
GER,8519,Robert Wisolek,C. Pirker,SCLW,4,4,DNC 26,34,10
GER,8861,Wolfgang Seifert,Peter Daferner,SCLW,9,17,12,38,11
GER,8658,Christina Höll,Alexander Wilhelm,HSC,13,11,14,38,12
GER,8672,Karsten Contag,Guido von Walter,SCLW,19,15,10,44,13
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,20,14,11,45,14
GER,9021,Georg Geyer,Claudia Conrads,,23,6,17,46,15
GER,8562,Jochen Heydolph,Fabian Martyson,SCLW,14,16,16,46,16
GER,8598,Anna Höll,Bernd Heinisch,,15,19,13,47,17
GER,8124,Fabian Kohl,Juliane Kohl,WWSC 70,16,18,15,49,18
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,10,13,DNC 26,49,19
GER,8666,Michael Kurzeja,Carsten Dunkmann,BYC,17,22,20,59,20
GER,8098,Albrecht Maisch,Frank Letsche,SGK,21,23,18,62,21
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,22,20,21,63,22
GER,8670,Theo Kohl,Birgit Kohl,WWSC 70,24,21,19,64,23
GER,7275,Dirk Hütten,Stefan Buschhitter,,25,24,22,71,24
GER,8691,Christoph Bökle,Michael Marker,SSCM,18,DNC 26,DNC 26,70,25
