,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
GER,8721,Sophie Heyer,Sebastian Salein,JSC,1,4,1,2,3,3,,1
GER,9020,Tim Böger,Holger Jess,HSC,2,1,2,4,2,DNF,,2
GER,8992,Claas Lehmann,Leon Oehme,NRV,3,6,6,3,1,1,,3
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,4,8,5,1,5,2,,4
GER,8927,Jörg Häger,Hans-Heinrich Rix,SCB,5,3,3,6,4,4,,5
GER,8843,Helen Fischer,Lars Dehne,BYC,6,2,4,5,6,7,,6
GER,8563,Stefan Schmidt,Hartwig Friedrichs,SVSS,15,5,7,8,10,6,,7
GER,8825,Michael Troch,Ulf Denecke,SGJ,7,7,14,9,7,8,,8
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,10,9,8,7,13,15,,9
GER,9000,Enno Wilts,Jan Wiechmann,SVBB,11,0,12,15,10,14,,10
GER,8619,Steve Kwee,Hans-Jürgen Rentelmann,HSC,9,13,16,11,11,12,,11
GER,6817,Ralf Schneidewind,Armin Splisteaser,KSC,13,21,11,17,9,9,,12
GER,8550,Martha Hauschild,Michael Heyder,SCS,8,14,13,12,16,14,,13
GER,8999,Karsten Stümpel,Klaus Heeschen,HSC,8,14,13,12,16,14,,14
GER,8686,Christian Niefert,Sven Dömges,BSV,DNF,DNF,12,13,8,11,,15
GER,8932,Christian Henge,Katharina Menge,OSG,14,10,21,14,12,20,,16
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,17,18,9,18,17,13,,17
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,12,15,17,19,22,17,,18
GER,8664,Nicholas Melzwig,Alexander Hoesen,LRV,19,16,22,16,21,16,,19
GER,8385,Martin Bernauer,Kerstin Bernauer,CNFT,20,19,18,DNF,20,18,,20
GER,8662,Jan Stölken,Anna Stölken,SCU,18,17,18,22,23,22,,21
GER,8500,Jens Kühne,Katja Henge,OSG,21,22,20,20,18,21,,22
GER,8482,Christian Lempp,Stefan Weigand,HSC,DNC,20,DNF,21,15,19,,23
GER,7946,Jens Friedrich,Lars Lippmann,CYC,22,DNF,DNF,DNF,24,23,,24
GER,751,Martin Weber,Martin Lietz,SCG,23,DNF,DNC,DNC,25,24,,25
