nation,Boat,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Club Helm,Club Crew,Points,Netto,Place
GER,9152,Mike Schomaeker,Holger Jess,,1,1,1,1,5*,1,2,1,ALLEMAGNE,-,13,8,1
SUI,8954,Caroline Jacot,Philippe Jacot,,3,3,10*,5,7,6,9,2,SUISSE,-,45,35,2
GER,9090,Christian Kellner,Andreas Achterberg,,21*,2,2,3,2,13,3,13,ALLEMAGNE,-,59,38,3
FRA,9075,Philippe Boite,Florian Corbel,,18*,10,4,2,6,5,6,7,ST QUENTIN C V,C V L L'ABER WRAC'H,58,40,4
GER,8975,Alexander Holzapfel,Stefan Worm,,6,5,5,13*,9,11,1,6,ALLEMAGNE,-,56,43,5
SUI,9096,Cédric Bart,Laurent Grob,,8,14,11,7,3,7,15*,3,SUISSE,-,68,53,6
GBR,9088,Andy Smith,Ian Mitchell,,10,15,3,4,4,2,22*,17,GRANDE-BRETAGNE,-,77,55,7
GER,9122,Benedikt Northott,Kilian Northott,,4,4,21*,10,11,17,4,5,ALLEMAGNE,-,76,55,8
SUI,8613,Ueli Marti,René Betschen,,2,13,15,19*,14,4,13,4,SUISSE,-,84,65,9
FRA,9137,Jeremie Brau,Ludovic Roblin,,5,6,6,23*,15,18,5,12,PORT-BLANC AN,PORT-BLANC AN,90,67,10
GBR,9131,Nathan Batchelor,Chris Turner,,13,18*,7,6,12,12,7,11,GRANDE-BRETAGNE,-,86,68,11
SUI,8614,Florian Stauffer,Valéry Jacot,,7,17*,13,15,8,10,8,10,SUISSE,-,88,71,12
GER,9035,Ronald Roos,Morten Roos,,12,16,9,12,1,3,21,26*,ER,-,100,74,13
GER,9133,Frieder Achterberg,Wolfang Stueckl,,14,24*,14,8,10,9,17,14,ALLEMAGNE,-,110,86,14
DEN,9128,Nikolaj Hoffmann Buhl,Henrik Buhl,,22,7,17,9,16,8,11,27*,DANEMARK,-,117,90,15
FRA,8820,Thibault Di Pede,Fabrice Toupet,,26*,22,8,16,17,19,12,9,SEINE-PORT C V,SEINE-PORT C V,129,103,16
GER,9139,Dirk Penno,Tim Boger,,20,11,22,14,13,33 DNS*,20,24,ALLEMAGNE,-,157,124,17
FRA,9056,Alain Tosello,Yves Niddam,,16,26,16,31*,26,16,19,8,D ANTIBES LES VOILES,Y C BEAULIEU,158,127,18
GER,8958,Nicolas Melzwij,Axel Priegann,,19,27*,20,20,20,14,14,21,,-,155,128,19
FRA,8847,Muriel Jeanne,Franck Agrapart,,11,21,28*,17,27,22,18,15,HAUTE SEINE C N,C N HAUTE SEINE,159,131,20
FRA,8402,Loic Bleuez,Frederic Roucayrol,,9,20,23,21,21,20,23,25*,N. Saint - Raphaël C,N. Saint - Raphaël C,162,137,21
SUI,9060,Catherine Houriet,Gil Donze,,23,23,26*,22,24,15,24,16,SUISSE,-,173,147,22
FRA,9103,Mathieu Glade,Maxime Banchini,,28,32*,12,24,19,21,16,28,C TOULON Y,MER ET MONTAGNE,180,148,23
GER,9113,Sophie Sollner,Karsten Stumpel,,15,8,18,11,33 DNF*,33 DNS,33 DNS,33 DNS,ALLEMAGNE,-,184,151,24
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,,24,9,24,28*,23,23,26,22,ST TROPEZ S N DE,Y C TOULON,179,151,25
FRA,9019,Veronique Brenet,Jean-Pierre Peter,,17,12,32,27,25,33 DNF*,25,20,ALSACE LORRAINE AC,AC ALSACE LORRAINE,191,158,26
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,,29,31,29,25,28,33 DNS*,10,19,C.V.M.L,ST VAAST C N BAIE,204,171,27
FRA,8704,Serge Gubri,Lawrence Banahan,,31*,30,30,18,18,24,27,29,SEINE-PORT C V,N. Saint - Raphaël C,207,176,28
GER,9114,Mats Westholm,Frisco Sanguino Petersen,,27,25,19,26,33 DNF*,33 DNS,28,18,ALLEMAGNE,-,209,176,29
SUI,8727,Lorenz Nydegger,Martin Nydegger,,25,19,27,29,33 DNF*,33 DNS,29,23,,-,218,185,30
FRA,9012,Melissa Ferrois,Yann Ducreux,,30,28,25,30,22,33 DNS*,33 DNS,33 DNS,YCPR,ASPTT MARSEILLE,234,201,31
GER,8672,Dirk Huetten,Guido Von Walter,,32,29,31,32,33 DNF*,25,30,30,ALLEMAGNE,-,242,209,32
