Nation,Boat, Helm, Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Pointes,Place
AUS,9134,Michael Quirk,Nathan Quirk,AUS,2,2,1,6,2,4,1,1,1,2,16,1
GBR,9088,Andy Smith,Tim Needham,NCSC GBR,1,1,2,1,1,7,7,2,4, OCS,26,2
SUI,0,Caroline Jacot,Philippe Jacot,,5,4,4,4,7,1,2,9,2,1,30,3
GBR,9136,Ian Pinnel,Christian Diebilch,HISC GBR,3,3,3,2,3,6,5,3,8,3,31,4
FRA,9075,Philippe Boite,Florian Corbel,CVSQ,4,5, DSQ,3,5,2,4,5,9,9,46,5
FRA,9099,Vianney Guilbaud,Alain Karadjian,CVSQ,13,11,7,5,6,3,6,4,3,6,51,6
FRA,8904,Nicolas Martin,Julien Lafortune,C V SEINE-PORT,10,9,12,15,19,9,3,8,5,4,75,7
FRA,0,Jeremie Brau,Ludovic Roblin,AAN PORT-BLANC,6,12,9,8,10,8,10,6,16,8,77,8
FRA,8683,Antoine Lafortune,Geraud Lafortune,C V SEINE-PORT,14,10,14,12,14,5,12,16,7,5,93,9
FRA, 8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,9,7,13,17,8,11,15,17,10,7,97,10
AUS,0,Alexander ,Lean John Mac,AUS,8,6,10,10,4,26,16,10,27,17,107,11
SUI,9060,Catherine Houriet,Gil Donze,YCG SUI,18,8,6,7,20,16,25,13,13,11,112,12
FRA,8820,Thibault Di Pede ,Fabrice Toupet,C V SEINE-PORT,16,15,5,11,12,19,20,7,23,12,117,13
GBR,0,Dean Roger,Bartholomen Richard,GBR,11,14,11,16,9,22,11,21,14,13,120,14
FRA,8716,Aline Martin,Anais Dechauffour,Y C ILE DE FRANCE,19,16,16,19,21,12,8,14,6,14,124,15
FRA,9031,Philippe Lucienne,Vivien Lucienne,ABC VOILE,17,20,15,9,16,18,9,22,15,21,140,16
SUI,8961,Toni Utiger,Sacha Wirth,SUI,7,13,17,13,23,23,22, DNF,30,15,163,17
FRA,8676,Valentin Dechauffour,Pierre Gendry,S N O NANTES,22,17,8,14,13,25,23,25,19,23,164,18
FRA,8847,Bastian Le Morvan ,Aristide Gasquet,ASPTT TROYES,23,18,21,24,18,20,17,19,12,20,168,19
FRA,0,Philippe Blanchard,Florent Duplouy,A C D'ALSACE LORRAIN,21,24,23,27,27,14,21,11,20,10,171,20
FRA,0,Serge Gubri,Pierre Quil,C V SEINE-PORT,29,25,20,28,15,15,19,15,18,26,181,21
FRA,0,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,24,26,22,31,29,27,18,18,11,16,191,22
FRA,0,Pascal Viaud,Alban Viaud,C N CO ST TROJAN,15,27,18,18,24,13,29, DNF,25,24,193,23
GER,0,Peter Kruse,Arne Wittemer,SEGELCLUB HATTINGEN ,DNC, DNC,32,21,22,24,14,12,17,18,203,24
FRA,0,Herve De Kergariou,Guillaume De Kergariou ,CN ARRADON,28,21,24,26,25,10,13,20, DNC, DNC,210,25
FRA,0,Elisabeth Neidhart,David De Monteil ,CVML,20, RET,25,20,17,29,34,24,29,19,217,26
FRA,0,Jamonieres Bertrand Des,Nicolas Des Jamonieres ,S N P H,26,29, DSQ,23,11,17,30,30,22,31,219,27
FRA,0,Jacques Dechauffour,Sabine Dechauffour,S N O NANTES,25,23,19,22,36,38,27,23,26,22,223,28
FRA,0,Jean Philippe Hermieu,Christian Simonnot,S N S T,12,22,30,25,26,28,32,32,21,32,228,29
FRA,0,Jordane Lafortune,Herve Brillaud,C V SEINE-PORT,33,19,27,29,28,30,24,28,24,28,237,30
FRA,0,Claude Lafortune,Adrien Lafortune,C V SEINE-PORT,30,34,28,30,30,21,26,27,28,25,245,31
FRA,0,Pierre Nesseler,Nicolas Nesseler,ST GEORGES VOILES,35,33,33,37,34,31,31,29,31,27,284,32
FRA,0,Jean Philippe Ducros,Thierry Muniglia,CVML,27,30,26,35,31,35,33, DNF,38,30,285,33
FRA,0,Philippe Leroy,Marc-Henri Guitteny,S N O NANTES,38, DNC,36,32,32,33,28,26,35,33,293,34
FRA,0,Philippe Duquesne,Fabrice Bouton,S N O NANTES,34,31,31,38,35,32,36,33,32,29,293,35
BEL,0,Serge Cauet,Philipe Vandersteen,BEL,40,28,29,36,37,36,35,31,36, OCS,308,36
FRA,0,Jean Charles Zimmowitch,Jerome Zimmowitch,VIRTUAL REGATTA YC,32,37,37,34,33,34,40,34,34,35,310,37
FRA,0,Denis Morel,Matthieu Morel,C V JULLOUVILLE,31,35,34,33,40,40,39,35,39,37,323,38
GER,0,Jürgen Feverhake,Anne Nehrenberg,,37,36,35, DNC, DNC,39,38, DNF,33,34,338,39
FRA,0,Patrice Hue,Jean Claude Ancelot,N D C V ANGERS,36,32, DNF, DNC, DNC,37,37,37,40,38,343,40
FRA,0,Bertrand Degois,Camille Degois,C N P K,DNC, DNC, DNF,39,39,41,41,36,37,36,355,41
FRA,0,Maurice Teyssier,David Teyssier,C V SANGUINET,39,38,38, DNF,38,42, DNF,38,41,39,356,42
