Sail,Skipper,,Yacht Club,1,2,3,4,5,,,Boat,Total,Pos
USA 9095,g nelson,Macy Russel,West River,1,5,[6],1,1,,,Highway 95 Revisited,8,1
USA 9041,Henry Amthor,Jessy,Hampton YC,2,1,4,[5],2,,,Henry & Jesse,9,2
USA 8643,Barney Harris,RJ Bay,WRSC & PRSA,[3],3,1,3,3,,,TEAM SPOT,10,3
USA 8939,Clark Hayes,,HYC,[7],2,2,4,4,,,,12,4
USA 8951,James Appel,Curtis,Eastport YC,[9],4,3,2,6,,,,15,5
USA 8883,Sean Harr,,WRSC,5,6,[8],6,7,,,Jane's Addiction,24,6
USA 8857,Brendan Connell,,WRSC,10,7,7,[11],5,,,Defiance,29,7
90951,Ben Komar,Kelsey,WRSC & Plymouth YC,8,[15/DNS],5,7,12,,,Kelsey & Ben,32,8
USA 8850,Douglas Watson,,Outer Harbour Centreboard Club,6,8,9,[12],10,,,Dr. Crash,33,9
USA 8081,Mark Linker,,Sail Newport,4,[11],11,8,11,,,Mark & Alex,34,10
USA 9139,Jackson Montague,Nate Barton,FBYC,11,9,10,[13],8,,,Wild Thing,38,11
USA 8288,Robert Bartlewski,,Outer Harbour Centreboard Club,[12],10,12,9,9,,,,40,12
USA 9138,Marek Balinski,,OHCC,13,12,13,10,[15/DNF],,,Plastic Surgery Disaster,48,13
USA 8930,Duane Delfosse,,LSYC,[15/DNS],15/DNS,15/DNS,15/DNS,15/DNS,,,None of the above,60,14
