,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
DEN,8962,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,1,2,2,5,5,2,,1
DEN,8964,Jan Saugmann,Morten Ramsbæk,HiS,4,3,3,3,2,3,,2
GER,8957,Wolfgang Hunger,Julien Kleiner,PYC,2,4,7,2,4,4,,3
GER,9040,Meike Schomäker,Holger Jess,ZSK,7,9,4,6,1,1,,4
GER,8728,Martin Görge,Rainer Görge,TSVS,3,8,1,10,7,8,,5
DEN,9025,Per Larsen,Bent Lundsager,Farum,10,6,11,1,6,5,,6
GER,8992,Claas Lehmann,Leon Oehme,NRV,5,7,13,4,3,10,,7
DEN,9023,Tom Bøjland,Anders Friis,Farum,6,10,6,11,8,6,,8
DEN,8958,Nikolaj Buhl,Henrik Buhl,,11,15,8,8,9,9,,9
SWE,8926,Ebbe Rosén,Olle Wenrup,Mai Arhojd,8,1,10,9,DNC 18,DNC 18,,10
GER,8947,Volker Niedik,Stefan Heising,BSV,13,5,5,7,DNC 18,DNC 18,,11
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,12,11,9,13,11,7,,12
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,9,14,12,12,10,11,,13
GER,9028,Stefan Köchlin,Lars Dehne,SKF,14,12,15,DNF 18,12,12,,14
DEN,8232,Jonas Christiansen,Kim Riis Pedersen,,16,13,14,14,13,13,,15
GER,9000,Enno Wilts,Jan Wiechmann,SVBB,15,17,16,15,14,DNC 18,,16
DEN,8071,Michael Wonterghem,Fabiola Wonterghem,SoSe,17,16,17,16,15,14,,17
