Nat,Sail No,Helm,Crew,Club,R1,R2,R4,R3,R5,R6,R7,R8,Pts,Pos
GBR,9032,Ian Pinnell,Ian Mitchell,,1,2,1,1,1,1,2,DNF,7,1
USA,9002,Mike Holt,Carl Smit,,2,1,2,4,2,2,1,3,10,2
GBR,9012,Andy Smith,Tim Needham,,3,4,3,2,3,8,5,5,20,3
GBR,9006,Terry Scutcher,Christian Diebitsch,,5,3,4,7,5,6,4,2,23,4
USA,9009,Bruce Edwards,Matthias Kennerknecht,,4,5,5,9,8,10,3,1,26,5
GBR,8906,Harry Briddon,Simon Briddon,,6,6,6,10,9,4,7,6,35,6
GBR,8963,Martin Hodgson,Adrian Miles,,12,11,8,6,4,3,9,7,37,7
GBR,9057,Chris Lewns,Dan Parsons,,11,8,9,3,6,5,16,14,42,8
GBR,8887,Richard Williams,Paul Davies,,8,9,15,22,7,11,8,4,47,9
GBR,8935,Russel Short,Andrew Short,,9,7,7,8,10,12,12,8,49,10
GBR,8835,Charlie Walters,Dougal Cram,,10,14,10,5,13,7,6,12,50,11
GBR,9013,Tudor Owen,Nolan Forwood,,15,10,DNF,14,11,14,13,9,71,12
GBR,8694,Matthew Hart,Daniel Hart,,14,12,DNF,13,12,9,17,13,73,13
GBR,8905,Stuart Turnbull,Jason Lunn,,13,18,12,11,DNS,DNF,14,11,79,14
GBR,8945,Neil Rabbtts,Adam Kenney,,16,13,13,20,14,13,11,DNF,80,15
GBR,8686,Richard Sims,Robert Burdekin,,17,15,17,18,17,17,15,10,91,16
GBR,8701,Rob Napier,Kimball Morrison,,18,16,11,19,16,15,22,15,91,17
GBR,8474,Chris Thorne,Mike Priddle,,31,21,18,21,15,16,18,16,104,18
GBR,8881,Roger Deane,Tim Williams,,21,26,16,16,18,19,DNF,DNF,116,19
GBR,8650,Terry Selfe,Alan Montague,,26,23,19,25,19,DNF,20,17,123,20
GBR,8749,Alistair Milton,Laurance Milton,,23,19,21,31,22,20,DNF,DNF,136,21
GBR,8780,Martin Wright,Arthur George,,29,25,22,27,20,21,DNF,DNF,144,22
GBR,901,Jez White,Matt Isherwood,,30,28,30,33,26,23,21,18,146,23
GBR,8925,Martin Wedge,Scott Allen,,19,22,20,26,21,DNF,DNF,DNF,149,24
GBR,8526,Ewen Barry,Russ Hopkins,,20,20,14,17,DNF,DNF,DNF,DNF,153,25
IRL,7771,Brian Jones,Gary Frost,,DNF,DNS,25,23,27,18,19,DNF,153,26
GBR,8860,Bobbie Johnson,Tony Merry,,34,33,27,15,25,22,DNF,DNF,156,27
GBR,8497,Tim Bird,Dennis Cartwright,,28,27,23,12,DNF,DNF,DNF,DNF,172,28
GBR,8300,Mike Pickering,Robin Tooz-Hobson,,27,29,29,29,DNF,DNF,23,DNF,178,29
GBR,8955,Ben Ififfe,Simon Lake,,24,24,DNF,24,24,DNF,DNF,DNF,178,30
GBR,9063,Jim Hunt,Norman Byrd,,7,DNF,DNF,DNS,DNS,DNF,10,DNF,181,31
GBR,8331,Richard Lord,Alex Cull,,22,17,DNF,DNF,23,DNF,DNF,DNF,185,32
IRL,8552,Mick O'Brien,John O'Gorman,,33,30,28,35,DNS,DNF,DNF,DNF,208,33
FRA,9010,Gilles Carvallo, ,,DNF,32,24,34,DNS,DNF,DNF,DNF,213,34
GBR,8419,Pete Mallaband,Darrel Samanjoul,,32,31,DNF,28,DNF,DNF,DNF,DNF,214,35
GBR,8583,Patrick Moore,Paul Barnbridge,,DNF,DNS,26,30,DNS,DNF,DNF,DNF,220,36
GBR,8907,Jim Berry,David Barnes,,25,DNF,DNF,32,DNS,DNF,DNF,DNF,221,37
GBR,8457,John Wilson,Adrian Howe,,DNF,DNS,31,36,DNF,DNF,DNF,DNF,231,38
GBR,8700,Iain Christie,Walter Doule,,35,DNS,DNF,37,DNS,DNF,DNF,DNF,236,39
FRA,9050,Herve Kergariou, ,,DNF,DNS,DNF,DNS,DNS,DNF,DNF,DNF,246,40
