Nation,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,Pts,Rank
GBR,9032,Ian Pinnell,Carl Gibbon,Northampton SC,1,-5,1,2,2,6,1
GBR,9079,Tim Rush,Sam Pascoe,Northampton SC,4,2,-6,3,1,10,2
GBR,9012,Andy Smith,Jonny Mildred,Notts County / Northampton SC,2,1,-11,5,3,11,3
GBR,8935,Russell Short,Andrew Short,Carsington,3,3,2,-6,5,13,4
GBR,9063,Jim Hunt,Norman Byrd,Northampton SC,-8,7,3,1,7,18,5
GBR,8835,Charlie Walters,Dougal Cram,Datchet Water SC,6,4,-10,4,4,18,6
GBR,8906,Harry Briddon,Simon Briddon,Ogston SC,7,6,4,8,(DNC),25,7
GBR,8793,Sam Barker,Mike Male,CCSC,9,8,7,-10,6,30,8
GBR,8945,Neil Rabbitts,Adam Kenney,Burton SC,11,9,5,-13,8,33,9
GBR,8834,J Blyth,D Aitken,Largo Bay SC,-12,10,8,9,9,36,10
GBR,9039,Tim Bird,Rich Nurse,Burton SC,5,11,14,7,-15,37,11
GBR,8955,Ben Iliffe,Simon Lake,RYA,15,(DNC),9,11,10,45,12
GBR,8881,Roger Deane,Niall Ferguson,Rock SC,14,12,13,-15,11,50,13
GBR,8780,Martin Wright,Jeff Powell,Northampton SC,-20,16,12,12,12,52,14
GBR,8532,Greg Booker,Ollie Boyers,,10,14,17,14,-18,55,15
GBR,8860,Bobbie Johnson,Tony Merry,Burton SC,13,13,15,-18,16,57,16
GBR,7336,Kevin Francis,Phil Male,CCSC,16,15,16,-19,14,61,17
GBR,8694,Jeremy White,Matt Isherwood,Draycote,17,-18,18,16,13,64,18
GBR,8510,Ben Jones,Alex Cull,Oxford SC,18,17,-19,17,17,69,19
GBR,8457,John Wilson,Adrian Howe,,19,(DNF),DNC,DNC,DNC,82,20
