Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Result,Place
AUS,8522,Chris Nicholson,Darren Nicholson,,1,1,4,2,2,11,14,1
GBR,8510,Ian Barker,Tim Hancock,,3,10,1,1,1,13,21.7,2
DEN,8433,Jorgen Schonherr,Nichael Poulsen,,4,2,2,4,7,3,27.7,3
USA,8266,Howard Hamlin,Cameron Lewis,,2,4,3,6,10,1,28.4,4
SWE,7343,Kalle Nilsson,Martin Westerdahl,,6,3,11,3,17,7,53.1,5
GBR,8242,Mark Upton-Brown,Nigel Vooght,,7,7,7,9,6,2,53.7,6
AUS,8406,Neil Long,Les Evans,,9,6,13,7,4,5,57.7,7
GBR,8432,Debbie Jarvis,Andy Harrop,,10,5,5,5,12,6,57.7,7
SWE,8211,Krister Bergstrom,Johan Arvedson,,13,12,8,15,3,4,64.7,9
AUS,8044,Hugh Stodart,Adam Scott,,5,9,15,17,5,10,72,10
GER,8450,Tim Boger,Holger Jess,,8,8,16,13,8,12,79,11
GBR,8521,Paul Towers,Dan Johnson,,11,14,12,14,11,8,86,12
AUS,8091,Malcom Page,Carter Jackson,,15,17,6,8,15,14,87.7,13
DEN,8364,Tom Bojland,Philip Christiani,,12,11,9,11,48 DNF,15,88,14
GER,8427,Dietrich Bieschin,Klaus Sta-Johann,,48 DNF,18,18,10,13,9,98,15
RSA,8340,Robin Hancock,Alan Franklin,,16,15,10,12,16,19,99,16
GBR,8489,Mark Longstaff,Jon Ward,,14,13,19,16,9,17,99,16
GBR,8507,Vernon Ralston,Paul Young,,17,25,17,20,14,16,114,18
RSA,8520,David Vinnicombe,Peter Vinnicombe,,18,16,14,18,21,18,114,18
GER,8465,Hartwig Frederichs,Dirk Rother,,21,24,20,21,20,20,132,20
AUS,8453,Brett Whitbread,John Whitbread,,20,22,26,2,18,22,134,21
RSA,8438,Nigel Milln,Malcolm Moller,,23,19,21,19,23,23,135,22
DEN,8405,Birgitte Sogard,Carsten Barlebo,,19,20,27,27,19,21,136,23
RSA,6756,Tony Alison,Anton Ellens,,22,21,28,23,48 DNF,26,150,24
RSA,6211,Dereck Warne,Cambell Alexander,,24,30,29,28,22,24,157,25
ZIM,7627,John Wyles,Andrew Chadwick,,25,27,24,30,26,27,159,26
RSA,8121,Albrecht Holm,Dietmar Holm,,31,28,25,24,27,29,163,27
RSA,6714,Iain Park-Ross,Norman Fischer,,48 DNF,26,31,29,24,25,165,28
RSA,8537,Steve Hegestrom,Mark Miller,,48 DNS,23,22,25,48 DNF,30,172,29
RSA,7821,Jon Lindemann,Alan Haylett,,27,37,32,32,25,48 DNF,183,30
RSA,7493,Hans Rogotzki,Mark Rogotzki,,28,31,23,48 DNF,48 DNF,32,186,31
RSA,7722,Robert Crisp,Warren Buddenbrock,,26,29,34,26,48 DNF,48 DNF,187,32
GER,8166,Jurgen Feuerhake,Margit Falk,,29,33,30,33,48 DNC,48 DNC,197,33
RSA,6,Andrew Willington,Winston Cummins,,48 DNF,32,35,31,48 DNF,28,198,34
RSA,4437,Grant Ballantyne,George Meyer,,30,36,37,35,48 DNC,31,199,35
ZIM,7641,Kevin O'Connor,Peter Joubert,,48 DNS,34,33,36,48 DNF,48 DNC,217,36
RSA,6641,Tony Murray,Thomas Fisher,,48 DNF,35,36,37,48 DNF,48 DNC,222,37
RSA,6691,Eric Atherstone,Eric Beaumont,,48 DNF,48 DNF,39,34,48 DNC,48 DNF,229,38
RSA,7280,Renton Tindall,Warwick Tindall,,48 DNF,48 DNF,38,48 DNF,48 DNF,48 DNF,236,39
RSA,6213,Anton Hautman,Anthony Baker,,48 DNC,48 DNC,48 DNC,48 DNC,48 DNC,48 DNC,240,40
GBR,8377,Hector Cisneros,Lawrence Crispin,,48 DNC,48 DNC,48 DNC,48 DNC,48 DNC,48 DNC,240,40
