Nation,Vene,Miehistö,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Pisteet,Sija
FIN,8632,Hamström Jari,Laurila Tuomas,,-7,1,1,1,6,2,11,1
FIN,8320,Hyysalo Sampsa,Miettinen Tatu,,5,2,2,2,4,-6,15,2
FIN,8057,Lindfors Kaj,Halonen Johan,,4,-9,4,5,2,1,16,3
FIN,7784,Held Thomas,Vennonen Timo,,1,6,3,4,-8,3,17,4
FIN,8678,Laitinen Eino,Castren Thomas,,3,4,5,3,3,-7,18,5
FIN,8924,Raita Raimo,Nurmela Juha,,2,3,-10,6,5,4,20,6
FIN,8768,Nieminen Jukka,Kuosa Jussi/Salonen Antti,,6,5,8,(RAF),1,5,25,7
FIN,8582,Kienanen Anssi,Kauppinen Kaarle,,8,(DNF),6,8,11,9,42,8
FIN,8873,Peltoniemi Ari,Elovirta Tapani,,-13,7,9,7,10,10,43,9
FIN,8659,Maisniemi Kira,Dillemuth Matti,,9,8,11,9,7,(DNC),44,10
FIN,8620,Wikar Markus,Heljo Teemu,,(DNS),11,7,10,9,8,45,11
FIN,8748,Valli Jouni,Jaakonsaari Iiro,,10,10,12,DNF,DNS,DNC,58,12
