Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Boat,Total,Nett,Rank
RSA,9063,James Largier,Richard Hutton-Squire,RCYC,1,(5.0),1,5,3,2,(6.0),1,1,1,2,1,Iris,29,18,1st
RSA,9094,Peter Funke,Thomas Funke,Aeolians/PYC,4,4,2,1,1,1,2,(5.0),3,3,1,(5.0),Lelo,32,22,2nd
RSA,8788,David Rae,Sean Van Rensburg,RCYC,2,3,3,3,2,3,1,3.5,(5.0),2,(6.0),4,,37.5,26.5,3rd
RSA,8719,Alex Ham,Calvin Gibbs,RCYC,(5.0),2,4,4,(14.0 DNS),4,3,2,4,4,5,2,Blue Octopus,53,34,4th
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,3,1,5,(7.0),4,(6.0),5,3.5,2,5,3,3,BRT,47.5,34.5,5th
RSA,7682,Luke Wagner,Ant McMillan,PYC,6,7,7,(14.0 DNF),6,5,4,6,6,6,4,(14.0 DSQ),,85,57,6th
RSA,8789,Amber de Dekker,Warwick Ham,PSC,8,6,8,(14.0 DNF),8,8,8,(9.0),7,7,9,6,7of9,98,75,7th
RSA,8471,Hans Rogotski,CJ Milln,PYC,7,9,6,2,7,7,(14.0 DNS),10,(11.0),9,8,11,Fish Eagle,101,76,8th
RSA,8584,Campbell Tiley,Damien Muller,,(10.0),(11.0),10,6,5,9,7,8,9,8,7,9,Flying Freddie,99,78,9th
RSA,8520,Aaron Biagio,Mark Biagio,PSC,9,8,(14.0 DNF),(14.0 RET),14.0 RET,14.0 RET,14.0 RET,7,8,10,10,7,Geelslang,129,101,10th
RSA,8707,Daniel Eigelaar,Marius Fourie,SBYC,11,10,(14.0 DNF),(14.0 RET),14.0 RET,14.0 RET,14.0 RET,11,10,11,11,8,Aitsa,142,114,11th
RSA,7722,Dudley Thomson,Alan Lewthwaite,EYC,12,12,9,8,(14.0 DNS),(14.0 RET),14.0 RET,11.9 RDGb,11.9 RDGb,11.9 RDGb,11.9 RDGb,11.9 RDGb,Sensation,142.5,114.5,12th
RSA,8537,Andrew Arthur,Ian Campbell,EYC,13,13,(14.0 DNF),(14.0 RET),14.0 RET,14.0 RET,14.0 RET,12,12,14.0 DSQ,12,10,,156,128,13th
