Country,Sail Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,State,Extra,Total,Netto,Place
AUS,9272,Sandy Higgins,Paul Marsh,B&SYC,3,4,4,3,2,[6],[13],1,4,SA,Master Crew,40,21,1
AUS,8801,Peter Nicholas,Luke Payne,RFBYC/GKSS/EFYC,2,1,1,[18],6,4,2,[12],9,WA,,55,25,2
GBR,9253,Nathan Batchelor,Sam Pascoe,Tynemouth Sailing Club,[15],3,2,5,5,5,[71 DNF],2,8,Tyne and Wear,,116,30,3
AUS,9134,Chris Nicholson,Charlie Wyatt,LMYC,4,[13],7,[11],8,1,3,7,1,NSW,,55,31,4
USA,9262,Howard Hamlin,Andy Zinn,NHYC,6,6,9,1,1,[15],4,[13],6,CA,Master Helm,61,33,5
USA,9072,Mike Holt,Carl Smit,SCYC,1,5,8,7,7,[10],9,[10],3,Nevada,,60,40,6
USA,9248,Nic Baird,Eric Anderson,StFYC,11,[16],6,12,12,2,1,[39],5,California,,104,49,7
GBR,9238,Ian Pinnell,Charles Dwyer,HISC,10,11,15,[16],4,[21],5,4,2,Northampton,,88,51,8
DEN,9244,Jan Saugmann,Nick Johnston,HSC,8,[28],3,9,[34],3,17,6,7,Hovedstaden,,115,53,9
AUS,9194,Robin Duessen,David Snoad,ASC,9,2,16,8,3,[71 DNS],[21],8,12,SA,Master Helm/Master Crew,150,58,10
USA,9106,Mike Martin,Adam Lowry,StFYC,5,14,5,4,17,7,10,[24],[20],CA,,106,62,11
AUS,9191,Malcolm Higgins,Angus Higgins,BSYC,[32],7,[21],2,21,13,16,3,10,SA,,125,72,12
FRA,9270,Philippe Boite,Marin Carnot,CVSQ,12,8,18,[20],9,14,11,[23],19,FRANCE,,134,91,13
GER,9198,Micki Daisenberger,Johannes Tellen,DTYC,7,[29],13,17,19,8,8,[26],23,Bavaria,,150,95,14
AUS,8794,Michael Babbage,James McAllister,NC YC,19,[26],10,24,[26],9,6,18,13,NSW,,151,99,15
AUS,9209,Alexandra Alder,Marcus Cooper,HSC,[30],9,[71 DNF],14,20,25,15,9,15,SA,Mixed,208,107,16
GBR,9229,Michael Wilson,Stu Bithell,IoMYC,24,[39],[29],6,10,16,28,5,22,Isle Of Man,,179,111,17
Aus,9061,Kevin Cameron,Sam Heritage,DPSS,25,10,11,[39],[32],11,20,17,18,Qld,,183,112,18
AUS,8759,Tom Stivano,Simon Burt,B16YC,14,17,17,23,24,[71 DNF],[71 DNC],15,17,NSW,,269,127,19
AUS,9254,Mark Stowell,Jake Bessen,RFBYC,20,[27],14,25,11,17,19,22,[33],WA,,188,128,20
USA,9252,Douglas Hagan,Nalu Ho,PCYC,[71 DNF],[71 DNF],19,13,15,12,14,41,14,HI,,270,128,21
GER,9258,Alexander Holzapfel,Arne Wittemer,PSK,[35],12,20,22,13,29,12,[33],21,Berlin,,197,129,22
GER,9260,Tim Boeger,Finn Boeger,HSC,23,15,23,[37],14,18,[30],11,27,Hamburg,,198,131,23
AUS,9167,Nigel Lott,Bob Franks,DPSS,16,21,33,15,16,[71 DNF],[36],28,16,QLD,Master Crew,252,145,24
AUS,9263,Michael Quirk,Cameron McDonald,Tba,[39],30,30,10,18,19,27,19,[31],NSW,Master Helm,223,153,25
AUS,9018,Alex Blacker,Jesse Mitton,ASC,21,22,31,27,35,24,[71 DNC],[42],11,SA,,284,171,26
AUS,8893,Ryan Menzies,Lucas Geddes,WASC,[45],20,26,40,[50],30,7,32,26,NSW,,276,181,27
USA,8576,Mike Punnett,Blaine Pedlow,PCYC,17,36,[37],31,33,23,18,29,[46],Idaho,Master Helm/Classic,270,187,28
AUS,9205,Edward Cox,Peter Nicholson,CYCA,29,[71 DNF],32,21,[53],28,34,14,30,NSW,,312,188,29
FRA,9147,Herve de Kergariou,Geraud Lafortune,YCF,40,[42],41,19,22,32,24,16,[44],Brittany,,280,194,30
GBR,8760,Terry Scutcher,Daniel Roos,CYCA,18,33,[39],33,27,31,[37],21,32,ACT,Master Helm,271,195,31
AUS,8809,Justin Carey,Chris Carey,DPSS,31,32,[71 DNF],[46],30,26,26,20,38,QLD,Master Crew,320,203,32
AUS,8781,Chris Gregg,Ian Gregg,DPSS,28,[45],22,28,43,22,23,43,[71 DNF],QLD,Master Crew,325,209,33
AUS,8644,Ayden Menzies,Adam Wyatt,TBC,38,19,12,38,[40],36,[71 DNF],34,37,NSW,,325,214,34
AUS,9265,Carter Jackson,Will MacDonald,MSC,42,[71 DNF],24,43,37,20,22,[56],34,NSW,,349,222,35
GER,9070,Stefan Koechlin,Andreas Achterberg,SVS,13,18,25,32,25,46,[71 DNF],[71 DNC],71 DNC,Deutschland,Master Crew,372,230,36
AUS,9273,Matt Hansen,Shane Attwell,FSC,26,23,48,[50],46,33,29,[52],25,WA,Master Helm/Master Crew,332,230,37
AUS,9264,Nicholas Mariani,Alexander Thomson,FSC,33,41,27,34,29,[71 DNF],[71 DNF],37,29,WA,,372,230,38
AUS,8946,Ryan Kelly,Harry Mitton,ASC & WSC,[56],25,28,[53],44,27,31,35,51,SA,,350,241,39
AUS,8796,Owen Vale,Quinn Andrew,RPAYC,36,31,40,[42],[48],34,41 SCP,36,24,NSW,,332,242,40
AUS,8817,Michael Duffield,Anthony Gaunt,FSC,34,24,35,26,[71 DSQ],[71 DNF],71 DNC,25,28,WA,,385,243,41
USA,8937,Tim Murphy,Paul Von Grey,SCYC,37,[46],36,30,28,40,45,27,[71 DNF],California,Master Crew,360,243,42
GER,9197,Nicola Birkner,Angela Stenger,VSaW,[51],40,45,35,23,43,43,30,[49],Bundesstaat,Women/Master Crew,359,259,43
AUS,9136,Cullen Hughes,Paul Rees,BSC,44,[57],34,[47],47,38,32,40,35,NSW,Master Crew,374,270,44
AUS,9223,Damien Carey,David Ottaway,HSC,22,38,38,56,45,[71 DNF],25,53,[59],SA,,407,277,45
USA,8786,Luke Ingalls,John Ingalls,SYC,[71 DNF],58,43,29,39,[71 DNF],44,38,36,Rhode Island,Master Crew,429,287,46
AUS,8891,Neil How,Zoe How,HSC,[60],34,46,[54],38,47,42,45,54,SA,Mixed,420,306,47
AUS,8855,Andrew Cawley,Patrick Attwell,RFBYC,43,54,[71 DNF],58,[62],37 SCP,33,44,40,WA,,442,309,48
AUS,8589,Brooke Jones,Brian Jones,HSC,46,[63],49,49,[61],39,35,50,43,SA,Mixed/Classic,435,311,49
AUS,8886,Tony Turton,David Clayton,BSYC,53,43,[71 DNF],44,36,[71 DNF],71 DNC,31,39,SA,Master Crew,459,317,50
Aus,8797,Aussie Higgins,Jarrod Hazell,FSC,49,51,42,52,41,42,[71 DNF],46,[58],WA,Youth,452,323,51
AUS,8639,Brian Pike,Riley Pike,GSC,47,50,44,48,[56],51,47,[59],42,NSW,,444,329,52
AUS,9213,Ian Burford,David Christie,DPSS,52,37,53,[59],49,37,[71 DNF],47,55,SA,Master Helm/Master Crew,460,330,53
AUS,9192,Finlay Crisp,Tom Alder,ASC,27,49,[71 DNF],41,52,[71 DNF],71 DNC,55,41,SA,,478,336,54
