Nation,,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,points,place
FRA,,Ravet David,Loyal Bertrand,S R ROCHELAISES,1,1,1,1,3,1
FRA,,Soulier Pierre,Cornu Francois,S R VANNES,3,DNC,3,2,8,2
FRA,,Gubri Serge,Thibault Di Pede,JEUNESSE ET MARINE,4,2,4,3,9,3
FRA,,Buffet Marcel,Victor Antoine,CV PARIS,8,4,2,4,10,4
FRA,,Vinches Gilbert,Fabrice Toupet,CVSQ,2,DNC,5,5,12,5
FRA,,Tilly Gerard,Tilly Xavier,A.S.N. PERROS,7,3,10,8,18,6
FRA,,François de Lisle,Brillaud Herve,C V PYLA S/M,6,DNC,9,7,22,7
FRA,,Jean-Baptiste Dupont,Vallaud Christian,CV PARIS,DNC,DNC,6,6,31,8
FRA,,Philippe Lucienne,Lucienne Vivien,S.R.C Sud-Oise,DNC,DNC,8,9,36,9
FRA,,Vassor Eric,Stephan Jean Patrick,USAM Voile Brest,9,DNC,12,15,36,10
FRA,,Christian Mautin,Birgand Gabriel,S N O NANTES,DNC,DNC,7,12,38,11
FRA,,Des Jamonieres Nicolas,Mony Geoffroy,CVML,DNC,DNC,11,10,40,12
FRA,,Perrault Patrick,Perrault Thomas,C.V.S.A.,5,DNC,DNC,DNC,43,13
FRA,,Martenot Christian,Lafortune Marie,C V SEINE-PORT,DNC,DNC,13,11,43,14
FRA,,Bernadac Laurent,Lecorgne Pierre,S R VANNES,DNC,DNC,15,13,47,15
FRA,,Boiry Michel,Ancelot Jean Claude,CV PARIS,DNC,DNC,14,14,47,16
FRA,,Huchet Cedric,Huchet Ludovic,A S P T T NANTES,DNC,DNC,16,16,51,17
FRA,,Xavier Lacombe,Troger Philippe,S R ROCHELAISES,DNC,DNC,DNC,DNC,57,DNA
