Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
GBR,8834,Ian Pinnell,Stephen Hunt,GWSC,7,4,[8],2,4,3,28,20,1
FRA,8802,Philippe Boite,Fabrice Toupet,CVM,5,[16],5,1,5,6,38,22,2
GER,8750,Michael Rössler,Holger Neuhaus,SKMD,10,[40],7,5,1,7,70,30,3
GER,8672,Christian Kellner,Martin Schöler,HSC,13,1,4,12,3,[DNC 55],88,33,4
DEN,8440,Per Larsen,Henrik Andersen,Farum,6,[39],14,3,13,1,76,37,5
FRA,8716,Christian Silvestre,Gaël le Mauguen,CVB,1,2,16,10,[35],10,74,39,6
GBR,8787,Terry Scutcher,Christian Diebitsch,Shotley,4,12,6,6,[15],11,54,39,7
GER,8633,Sophie Söllner,Wolfgang Stückl,CYC,2,10,2,[37],21,5,77,40,8
GBR,8555,Charles Walters,Dougal Cram,GWSC,19,[36],9,11,7,4,86,50,9
SUI,8729,Florian Stauffer,Philippe Jacot,CVN,9,9,[37],13,10,9,87,50,10
GER,8777,Stefan Schollmayer,Franscisco Sanguino-Petersen,SCMSP,14,[33],13,8,19,12,99,66,11
GER,8580,Markus Mühlbauer,Andréas Achterberg,DTYC,8,[30],15,24,9,13,99,69,12
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,16,19,42,[46],2,2,127,81,13
FRA,8819,Erik Nigon,Marc Jouany,,[31],26,11,24,12,8,112,81,14
SUI,8569,René Betschen,Patrick Ducommun,CNB,20,[33],10,16,24,15,118,85,15
FRA,8761,Pierre-Jean Gallo,Marc Riot,CNE,11,23,[37],18,16,17,122,85,16
GER,8642,Thoralf Greger,Thomas Jung,ASVG,[34],6,19,23,20,19,121,87,17
GER,8807,Morten Bogacki,Wolfgang Bogacki,DYC,[DNC 55],DNC 55,3,9,6,16,144,89,18
GER,8751,Melanie Kohlhoff-Horstmann,Angela Stenger,HSC,30,7,17,25,11,[OCS 55],145,90,19
FRA,8800,David Ravet,Bertrand Loyal,,3,25,1,7,[DNC 55],DNC 55,146,91,20
GER,8662,Jan Stölken,Matthias Brühl,SCU,29,5,20,[39],14,28,135,96,21
FRA,7941,Véronique Dousselin,Jean-Pierre Peter,ACAL,33,[41],23,15,8,18,138,97,22
GER,8519,Robert Wisolek,Nette Jansen,SCLW,12,28,24,20,17,[DNC 55],156,101,23
FRA,8508,Olivier Biche,Ludovic Roblin,,17,32,18,21,18,[DNC 55],161,106,24
GER,8825,Jürgen Waldheim,Robert Bussenius,PYC,[DSQ 55],31,12,14,22,29,163,108,25
FRA,8676,Marcel Buffet,Antoine Victor,CVP,32,14,30,4,[39],30,149,110,26
GER,8747,Jörgen Thumann,Oliver Stieglitz,TuSJ,27,11,28,17,[36],35,154,118,27
FRA,8402,Loïc Bleuez,Frederic Roucayrol,,23,29,22,26,27,[OCS 55],182,127,28
FRA,8491,Frédéric Véroul,Sebastien Huet,CNVa,[35],17,21,29,31,34,167,132,29
FRA,8565,Benoît Valleteau de Moulliac,Stephane Toumit,,26,29,[39],32,23,24,173,134,30
BEL,8553,Paul Gorremans,Eduard Lefevre,VVWA,15,34,[35],28,26,32,170,135,31
FRA,8623,Serge Gubri,Dominique Rouanne,JMIAM,22,25,[38],38,33,25,181,143,32
GER,8711,Carsten Engel,Tobias Neumeyer,PSVK,18,35,25,37,29,[OCS 55],199,144,33
FRA,8603,Jean-Philippe Chartier,Thomas Chartier,CVDP,28,22,29,[39],35,36,189,144,34
FRA,8484,Philippe Blanchard,Roger Chabaud,ACAL,25,[37],33,22,30,37,184,147,35
FRA,8695,Jean-Guy Puissant,Laurent Camusson,ANPESA,26,8,26,33,[DNC 55],DNC 55,203,148,36
GER,8473,Oliver Kraft,Frank Heimburger,SSCM,38,20,31,43,[50],33,215,165,37
FRA,8444,Pierre Guibbal,Simon Chartier,,44,[DNC 55],36,42,41,14,232,177,38
GER,8654,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,37,30,41,[53],37,32,230,177,39
GER,8418,Heike Winchenbach,Christoph Klein,SKBUe,39,47,44,[51],28,21,230,179,40
GER,7327,Dirk Frank,Stefan Kempf,SCS,39,27,[40],36,38,39,219,179,41
SUI,8079,Lorenz Nydegger,Martin Nydegger,SCB,40,[46],32,45,39,25,227,181,42
FRA,8353,Robert Fossard,Thierry Gresle,SNBa,[45],38,34,31,40,40,228,183,43
FRA,8521,Jean-Louis Guibbal,Matthieu Guibbal,CTVP,42,39,[51],34,45,26,237,186,44
FRA,8449,Bernard Pfeiffert,Didier Pfeiffert,,46,45,[50],41,32,32,246,187,45
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,43,43,[47],40,42,22,237,190,46
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,46,36,46,40,43,[DNC 55],266,211,47
GER,8518,Klaus Eifler,Nils Burghard,SCLW,[50],42,49,44,44,38,267,217,48
GER,8210,Christian Pittack,Anne Fitzpatrick,SCLW,51,53,[52],47,49,31,283,230,49
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,36,50,43,50,[DSQ 55],OCS 55,289,234,50
FRA,8733,Michel Boiry,Jean-Claude Ancelot,CVP,47,49,48,49,[51],41,285,234,51
GER,8634,Oliver Booth,Gerrit Haaland,HSC,[DNC 55],44,DNC 55,48,DNC 55,DNC 55,312,249,52
GBR,8835,Simon Lake,Colette Capelle,P.Cambs,48,51,[DNC 55],DNC 55,48,DNC 55,312,257,53
GBR,8678,Jim Berry,David Barnes,CVSC,48,51,[DNC 55],DSQ 55,48,DSQ 55,312,257,54
