FRA,,Club,,ligue,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,points,place
FRA,,Thibault Di Pede,Lafortune Jordane,C V SEINE-PORT,6,2,3,1,5,1,12,1
FRA,,Silvestre Christian,Vallaud Christian,CVSQ,4,1,4,3,2,7,14,2
FRA,,Martin Nicolas,Lafortune Julien,C V SEINE-PORT,2,3,2,4,4,9,15,3
FRA,,Lafortune Claude,Frederic Pathier,C V SEINE-PORT,7,6,1,OCS,1,3,18,4
FRA,,Lafortune Antoine,Lafortune Geraud,C V SEINE-PORT,3,5,5,2,3,6,18,5
FRA,,Philippe Blanchard,Blanchard Carole,A C D'ALSACE LORRAIN,1,4,6,7,7,2,20,6
FRA,,Dupont Jean Baptiste,Romain Eliot,CV PARIS,5,8,8,6,6,5,30,7
FRA,,Des Jamonieres Nicolas,Ducros Jean Philippe,CVML,8,7,7,5,10,4,31,8
FRA,,Martin Aline,Lafortune Chloe,C V SEINE-PORT,10,10,9,8,9,8,44,9
FRA,,Eric Quemard,Augoyard Franck,CV PARIS,9,9,11,DNF,8,10,47,10
FRA,,Armengaud Louis,Hoffmann Thomas,Y C FRANCE,11,11,10,9,11,DSQ,52,11
