Nation,,Club,,ligue,Race 1,Race 2,Race 3,Race 4,points,licences
FRA,,Tilly Gerard,Tilly Xavier,A.S.N. PERROS,2,1,1,1,3,1
FRA,,Jean-Baptiste Dupont,Ancelot Jean Claude,CV PARIS,1,2,4,3,6,2
FRA,,Christian Mautin,Stephan Jean Patrick,S N O NANTES,3,3,3,2,8,3
FRA,,Faucheux Florian,Kerautret Julien,Yacht Club BANYULS,4,4,2,4,10,4
FRA,,Vassor Eric,Lossec Patrick,USAM Voile Brest,5,5,5,5,15,5
