FRA,,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,points,place
FRA,,Philippe Blanchard,Blanchard Carole,A C D'ALSACE LORRAIN,1,3,1,3,1,1,2,1,2,9,1
FRA,,Dupont Jean Baptiste,,CV PARIS,3,1,5,6,2,2,1,2,1,12,2
FRA,,Buffet Marcel,Lecorgne Pierre,CV PARIS,7,2,2,2,6,3,4,3,3,19,3
FRA,,Delacroix Guillaume,Blondel Tanguy,VAL JOLY VOILE,2,DNF,DNS,4,3,5,DNF,7,4,36,4
FRA,,Verriez Bruno,Noclain Jean Marc,C V VALENCIENNES,4,DNF,DNS,5,5,7,5,5,6,37,5
BEL,,De Pauw Geert,Vandersteen Phil,M,DNS,DNS,DNS,DNS,4,4,3,4,5,42,6
FRA,,Blondy Bernard,Chabaud Roger,C V VALENCIENNES,6,5,4,7,7,9,7,9,DNF,45,7
BEL,,Crets Luc,Crets Cédric,M,5,4,3,1,DNS,DNS,DNS,DNS,DNF,46,8
FRA,,Noclain Philippe,Lesoil Lionel,C V VALENCIENNES,DNS,DNS,DNS,DNS,8,6,8,6,8,58,9
FRA,,Berrezay Eric,Goffin Valerie,C V VALENCIENNES,DNS,DNS,DNS,DNS,9,8,6,8,7,60,10
