Nation,,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,points,place
FRA,,Silvestre Christian,Le Mauguen Gael,CVSQ,2,1,4,2,2,1,9,1
FRA,,Jean-Baptiste Dupont,Vallaud Christian,CV PARIS,1,3,5,1,1,8,15.7,2
FRA,,Vinches Gilbert,Fabrice Toupet,CVSQ,4,2,1,4,3,2,19.7,3
FRA,,Marcel Buffet,Victor Antoine,CV PARIS,6,5,2,5,5,5,43,4
FRA,,Philippe Lucienne,Lucienne Vivien,S.R.C Sud-Oise,7,4,3,9,6,4,46.4,5
FRA,,Muh Pierre,Keraudrenv Dominique,C.N. VIRY CHATILLON,5,8,6,3,4,7,48.4,6
FRA,,Philippe Blanchard,Francis Doerenbecher,A C D'ALSACE LORRAIN,3,7,7,8,7,3,50.4,7
FRA,,Peiffert Bernard,Peiffert Didier,B N MESSEIN,8,6,8,DNS,10,6,67.4,8
FRA,,Boiry Michel,Broise Xavier,CV PARIS,9,9,9,6,9,DNF,71.7,9
FRA,,Barbier Philippe,Barbier Guillaume,C N C ST OUEN,10,11,11,7,8,9,75,10
FRA,,Riot Marc,Pellerin Pascal,C.N. VIRY CHATILLON,11,10,10,10,11,10,81,11
