Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
FRA,8541,Francis Doerenbecher,Alain Beltzung,CNS,1,1,4,1,7,,1
GER,8625,Alex Cross,Falko Braun,SCR,2,3,1,7,13,,2
FRA,8484,Jean-Marc Paquotte,Philippe Blanchard,,6,5,2,2,15,,3
FRA,8716,Christian Silvestre,Gaël le Mauguen,CVB,OCS 19,4,3,3,29,,4
GER,8418,Heike Winchenbach,Christoph Klein,SKBUe,3,6,5,11,25,,5
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,8,2,10,6,26,,6
GER,8473,Oliver Kraft,Andreas Goggel,SSCM,5,8,6,5,24,,7
GER,8702,Martin Handel,Frank Letsche,SGK,4,9,11,4,28,,8
GER,8691,Günther Böckle,Frank Heimburger,SSCM,9,15,7,8,39,,9
FRA,8676,Marcel Buffet,Jean Pierre Lecorgne,CVP,DNC 19,7,9,12,47,,10
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,12,12,8,10,42,,11
FRA,8705,Jean-Baptiste Dupont,Geoffrey Wessang,AS,DNC 19,13,12,9,53,,12
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,10,11,13,13,47,,13
FRA,8742,Philippe Noclain,Jean-Pierre Noclain,CVA,7,16,DNC 19,DNC 19,61,,14
GER,8519,Robert Wisolek,Ivonne Werner,SCLW,DSQ 19,10,DNC 19,14,62,,15
FRA,8742,Bruno Verriez,Jean-Marc Noclain,CCV,11,DSQ 19,DNC 19,DNC 19,68,,16
FRA,8301,Benoit Blaison,Erwan Dufumier,,DNC 19,17,14,DNC 19,69,,17
GER,8254,Florian Mayntz,Vanessa Detlmer,SVWu,DSQ 19,14,DNC 19,DNC 19,71,,18
