Nation,,Club,,ligue,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Pts CNI,place
FRA,,Boite Philippe,Gallo Pierre Jean,C V DE MEAUX,2,1,1,4,1,2,2,1,10,1
FRA,,Stauffer Florian,Jacot Philippe,,1,2,4,3,4,3,1,2,16,2
FRA,,Ravet David,Loyal Bertrand,S R ROCHELAISES,3,3,2,1,3,1,5,6,18,3
FRA,,Gubri Serge,Di Pede Thibault,JEUNESSE ET MARINE,5,9,3,5,5,4,4,5,31,4
FRA,,Doerenbecher Francis,Doerenbecher Aubin,C N DE SCIEZ,4,4,5,10,8,5,3,3,32,5
FRA,,Soulier Pierre,Cornu Francois,S R VANNES,6,7,6,8,2,6,6,7,40,6
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,7,6,9,6,6,7,7,4,43,7
FRA,,Buffet Marcel,Victor Antoine,CV PARIS,9,11,12,7,12,13,9,11,71,8
GER,8539,Schultz Hendrik,Oberländer Ute,C.N. VIRY CHATILLON,10,5,7,2,7,10,DNF,DNC,74,9
FRA,,Tilly Gerard,Tilly Xavier,A.S.N. PERROS,18,8,10,20,10,8,8,12,74,10
FRA,,Bleuez Loic,Roucayrol Frederic,Club Var Mer,8,13,13,16,13,9,12,9,77,11
FRA,,Frédéric Veroul,Huet Sebastien,C N VASSIVIERE,14,10,19,11,14,12,11,10,82,12
FRA,,Perrault Patrick,Camusson Laurent,C.V.S.A.,15,12,8,15,19,15,13,8,86,13
FRA,,Fossard Robert,Bonnet Michel,S N BANDOL,17,14,17,14,11,11,10,14,91,14
FRA,,Lucienne Philippe,Lucienne Vivien,S.R.C Sud-Oise,11,16,11,12,15,14,14,DNF,93,15
FRA,,Blanchard Philippe,Blanchard Carole,A C D'ALSACE LORRAIN,12,17,18,17,20,24,17,15,116,16
FRA,,Muh Pierre,Keraudrenv Dominique,C.N. VIRY CHATILLON,13,15,21,9,9,17,DNC,DNC,117,17
FRA,,Des Jamonieres Nicolas,Ducros Jean Philippe,CVML,21,21,15,DSQ,18,20,19,18,132,18
FRA,,Dupont Jean Baptiste,Vasseur Nicolas,CV PARIS,22,18,16,13,16,16,DNC,DNC,134,19
FRA,,Riot Marc,Guy Hubert,C.N. VIRY CHATILLON,25,19,14,24,DNF,DNF,15,13,143,20
FRA,,Boiry Michel,Ancelot Jean Claude,CV PARIS,20,20,DNF,23,26,28,16,16,149,21
FRA,,Lafortune Antoine,Lafortune Geraud,C V SEINE-PORT,26,23,23,19,30,23,18,21,153,22
FRA,,Bernadac Laurent,Fernandez Julien,S R VANNES,30,DNF,DNF,22,17,21,21,19,163,23
FRA,,Di Pede Jean-Pierre,Lafortune Claude,C V SEINE-PORT,29,24,22,28,23,25,22,20,164,24
FRA,,Coulmin Pierre-Jerome,Peter Vincent,WIND 14,27,DNF,DNF,25,28,18,20,17,168,25
FRA,,Champeau Alain,Pradeau Patrick,C N VASSIVIERE,19,28,25,18,24,22,DNF,DNC,169,26
FRA,,Martenot Christian,Lafortune Marie,C V SEINE-PORT,24,22,24,27,29,29,24,22,172,27
FRA,,Duquesne Philippe,Birgand Gabriel,S N O NANTES,31,27,26,26,25,26,23,23,176,28
FRA,,Lehmann Robert,Edel Bernard,A C D'ALSACE LORRAIN,16,DNF,DNF,DNF,21,19,25,DNC,180,29
BEL,,De Pauw Geert,Mautin Christian,M,28,26,20,21,22,30,DNC,DNC,180,30
FRA,,Nouraud Daniel,François Gautier,S R ROCHELAISES,23,25,27,OCS,27,27,DNF,DNC,195,31
FRA,,Huchet Cedric,Huchet Ludovic,A S P T T NANTES,DNC,DNC,DNC,29,31,31,DNF,DNC,223,32
