Nation,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Race 1,Race 2,Race 3,Race 4,Race 5,,,Place
GER,8721,Wolfgang Hunger,Holger Jess,PYC,1,2,1,1,4,,,1
GER,8623,Stefan Böhm,Gerald Roos,SCV,2,6,2,7,7,,,2
GER,8725,Tom Gosch,Rolf Meyer,ENSFR,3,5,3,3,15,,,3
GER,8663,Claas Lehmann,Sven Kurka,NRV,4,1,11,13,9,,,4
GER,8563,Mathias Jetschke,Jens Weishaupt,WSCW,8,3,8,7,8,,,5
GER,8649,Ronald Roos,Gerd Linnemann,SVWu,5,9,4,8,18,,,6
GER,8570,Hans-Heinrich Rix,Steffen Achenbach,CKA,12,10,6,4,10,,,7
GER,8580,Friederich Achterberg,Andreas Achterberg,DTYC,10,12,9,6,5,,,8
GER,8478,Volker Görge,Karsten Morf,TSVS,11,4,12,5,19,,,9
GBR,8720,Ian Pinnell,Carvallo Claire,GWSC,7,16,16,14,1,,,10
GER,8392,Martin Seikel,Norbert Becker,PSVK,6,11,5,16,22,,,11
GER,8686,Nicolai Völckner,Lars Dehne,HSC,9,14,7,11,20,,,12
GER,8665,Jens Schlomka,Klaus Stammerjohann,TSVS,20,7,13,10,13,,,13
GER,8376,Volker Niedik,Stefan Heising,BSV,15,13,14,9,12,,,14
GER,8560,Thore Michels,Andreas Schmidt,WSCW,14,18,18,17,11,,,15
GER,8652,Sebastian Dörr,Christian Dörr,HSC,13,21,22,12,14,,,16
GER,8634,Jörg Thumann,Franco Weichel,TuSJ,21,8,15,41 DNF,17,,,17
GER,8539,Olaf Oberländer,Ute Ziems,RSC,25,20,21,18,3,,,18
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,18,24,32,19,6,,,19
GER,8335,Roger Rachuba,Jens Wilke,SCSt,16,22,10,22,26,,,20
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,24,37,19,27,2,,,21
GER,8500,Klaus Rieck,Sven Friedrich,BSV,22,26,17,15,24,,,22
GER,8388,Andreas Klein,Marius Knippscheer,SCN,23,19,23,21,16,,,23
GER,8662,Jan Stölken,Matthias Brühl,SCU,26,23,24,20,21,,,24
GER,8609,Christian Müllejans,Carsten Engel,SVWU,19,17,41 DNC,41 DNC,25,,,25
GER,8424,Peter Gerdts,Karsten Lahrs,SVC,27,30,33,25,23,,,26
GER,8472,Kai Löblein,Roland Wiedemann,DTYC,28,25,26,26,33,,,27
GER,8571,Karl Heinz Hilgers,Wolfgang Bogacki,DSCU,34,35,25,24,27,,,28
GER,8517,Felix Ismar,Arnd Howar,WYD,17,31,27,41 DNC,41 DSQ,,,29
GER,8642,Stefan Schollmayer,Francisco Sanguino,SCMSP,41 DNF,15,20,41 DNF,41 DNC,,,30
GER,8657,Georg Neulen,Eike Neulen,WYCA,31,28,31,32,28,,,31
GER,8607,Bernd Kowalzig,Petra Beier,SCB,30,29,37,30,29,,,32
GER,8224,Lars Thiel,Annette Thiel,ZSV,33,27,30,41 DNF,30,,,33
GER,7035,Michael Köritz,Boris Herrmann,USCO,36,33,34,23,31,,,34
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,29,34,28,31,35,,,35
GER,8412,Antje Paulsen,Björn Schaar,BSV,32,32,29,29,37,,,36
GER,8187,Barbara Jesse,Heino Sahling,SGB,38,41 DNC,38,28,32,,,37
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,37,36,36,41 DNC,34,,,38
GER,8386,Jochen Heydolph,Eckard Busch,WYC,35,41 DNF,41 DNC,41 DNC,36,,,39
GER,8421,Christoff Blecken,Hannes Becker,BSV,39,38,35,41 DNF,41 DNC,,,40
