Nation,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Laufwertunge 4,Laufwertunge 5,Laufwertunge 6,Points,Netto,Pl.
GER,8670,Martin Görge,Rainer Görge,TSVS,11*,1,2,1,2,2,19,8,1
GER,8725,Andreas Bock,Rolf Meyer,HSC,1,2,3,2,3,7*,18,11,2
GER,8665,Jens Schlomka,Klaus Stammerjohann,TSVS,7,3,4,3,12,15*,44,29,3
GER,8621,Dirk Filimonow,Martina Filiminow,SVBS,5,7,5,7,8*,5,37,29,4
GER,8570,Hans-Heinrich Rix,Steffen Achenbach,CKA,2,31 DNC*,1,4,10,13,61,30,5
GER,8563,Mathias Jetschke,Jens Weishaupt,WSCW,4,5,8,8,9,10*,44,34,6
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,10,9,7,6,4,18*,54,36,7
GER,8686,Nicolai Völckner,Lars Dehne,HSC,19*,6,6,5,7,14,57,38,8
GER,8730,Jörg Häger,Thorsten Drewes,SCB,9,10,12,31 DNC*,5,3,70,39,9
GER,8550,Dietrich Scheder-Bieschin,Uwe Lätzsch,NRV,8,4,9,11,11,31 DNC*,74,43,10
GER,8659,Axel Oberemm,Gerd Linnemann,BYC,6,13,10,10,6,31 DNC*,76,45,11
GER,8478,Volker Görge,Karsten Morf,TSVS,15*,8,11,9,13,12,68,53,12
GER,8376,Volker Niedik,Stefan Heising,BSV,17,11,13,12,20*,8,81,61,13
GER,8607,Bernd Kowalzig,Kai Erhardt,SCB,14,16,20*,13,14,9,86,66,14
GER,8470,Norbert Dasenbrock,Sven Meier,KSV,13,14,16,20*,15,11,89,69,15
GER,8721,Wolfgang Hunger,Holger Jess,PYC,3,31 DNF*,31 DSQ,31 DNF,1,1,67,5,16
GER,8539,Olaf Oberländer,Ute Ziems,RSC,22,31 DNC*,18,17,16,4,108,77,17
GER,8609,Christian Müllejans,Carsten Engel,PSVK,12,17,17,16,19*,17,98,79,18
GER,8465,Jens Hufnagel,Markus Schöner,SCStM,21,31 DNC*,21,19,17,6,115,84,19
GER,8404,Hans-Christian Schwieger,Waldemar Schönebeck,NRV,16,18,19,18,18,21*,110,89,20
GER,8560,Thore Michels,Andreas Schmidt,WSCW,20,12,15,14,31 DNC*,31 DNC,123,61,21
GER,8608,Bernd Rasenack,Julien Kleiner,ZSK,18,15,14,15,31 DNC*,31 DNC,124,62,22
GER,8256,Carmen Bernitt,Eike Dietrich,WSCW,23,20,24*,21,22,19,129,105,23
GER,7856,Kai-Uwe Weiss,Eric Wolf,,27,21,25,22,31 DNC*,23,149,118,24
GER,8522,Heiko Behrens,Klaus Hönemann,AYCA,24,31 DNF*,23,31 DNF,21,16,146,115,25
GER,8430,Klaus Heeschen,Alexandra Schulz,VFS,25,31 DNF*,22,31 DNF,31 DNC,20,160,129,26
GER,8388,Andreas Klein,Marius Knippscheer,,31 DSQ*,19,31 DNC,31 DNC,23,31 DNC,166,135,27
GER,8405,Gerrit Haaland,Holger Rudloff,HSC,31 DNC*,31 DNC,31 DNC,31 DNC,31 DNC,22,146,146,28
GER,8222,Christian Koch,Kolja Völkers,KYC,26,31 DNF*,31 DNF,31 DNF,31 DNC,31 DNC,181,150,29
GER,8166,Roland Boetcher,Gabi Boetcher,SVGA,28,31 DNC*,31 DNC,31 DNC,31 DNC,31 DNC,183,152,30
