Nation,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Laufwertunge 4,PunkteRL,,Pl.
GER,87*,Wolfgang Hunger,Holger Jess,PYC,2,1,1,4*,8,4,1
GER,8657,Martin Görge,Rainer Görge,TSVS,1,2*,2,2,7,5,2
GER,8575,Tom Gosch,Rolf Meyer,ENSFV,4,3,8*,3,18,10,3
GER,8517,Michael Rössler,Arnd Howar,,9*,7,3,1,20,11,4
GER,8480,Joachim Hellmich,Christian Paschen,WYD,3,4,4,11*,22,11,5
GER,8621,Dirk Filimonow,Lars Stöckmann,SCSZ,5,5,9*,9,28,19,6
GER,8256,Peter Hecht,Eike Dietrich,,16*,9,5,7,37,21,7
GER,8542,Tom Swift,Hans-Heinrich Rix,WYC,7,8,14*,6,35,21,8
GER,8665,Jens-Peter Schlomka,Klaus Stammerjohann,TSVS,13,6,18*,8,45,27,9
GER,8700,Jörg Häger,Thorsten Drewes,SCB,11,12*,12,5,40,28,10
GER,8590,Stefan Köchlin,Ulrich Meyer,SKF,14*,10,7,13,44,30,11
GER,8634,Jörg Thumann,Franco Weichel,TuSJ,8,16*,15,10,49,33,12
GER,8539,Olaf Oberländer,Ute Ziems,ROYC,18*,17,6,12,53,35,13
GER,8609,Christian Müllejans,Carsten Engel,PSVK,6,14,17,20*,57,37,14
GER,8560,Thore Michels,Andreas Schmidt,ZSK,12,15,11,37 DSQ*,75,38,15
GER,8531,Jürgen Hatje,Ole Günther,SYC,10,19*,13,16,58,39,16
GER,8465,Jens Hufnagel,Martin Schöler,SCStM,17,13,19*,15,64,45,17
GER,8127,Jürgen Eigenbrod,Thomas Jung,RSVW,15,23*,16,14,68,45,18
GER,8686,Nicolai Völckner,Lars Dehne,HSC,19,37 DNS*,10,17,83,46,19
GER,8500,Klaus Rieck,Sven Friedrich,BSV,25*,11,21,18,75,50,20
GER,8507,Armin Eismann,Tino Käcks,SCA,21,20,22*,19,82,60,21
GER,7747,Till Supan,Lorenz Urbach,ETuF,20,22,20,23*,85,62,22
GER,8478,Karsten Morf,Heike Jansen,CKA,22,21,23,37 DNC*,103,66,23
GER,7878,Karsten Steinbach,Michael Schindler,?,23,24*,24,24,95,71,24
GER,8522,Heiko Behrens,Klaus Hönemann,AYCA,37 DNF*,18,37 DSQ,21,113,76,25
GER,8430,Klaus Heeschen,Alexandra Schulz,VFS,28,26,37 DNC*,22,113,76,26
GER,8412,Antje Paulsen,Björn Schaar,BSV,26,28*,27,26,107,79,27
GER,8674,Rainer Kremkow,Matthias Retzlaff,SCO,30*,25,26,29,110,80,28
GER,8450,Gerrit Haaland,Holger Rudloff,HSC,33*,27,28,25,113,80,29
GER,8279,Maike Miechelsen,Kay-Enno Brink,?,24,37 DNS*,29,28,118,81,30
GER,6611,Antje Herms,Gorch Stegen,,27,32*,30,27,116,84,31
GER,8471,Jörg Morche,Oliver Deutschbein,BSV,31,30,25,37 DNF*,123,86,32
GER,7498,Jürgen Anton,David Thompson,HSC,29,29,37 OSC*,37 DNF,132,95,33
GER,7856,Kai-Uwe Weiss,Eric Wolf,?,34,37 DSQ*,31,30,132,95,34
GER,8181,Reiner Gold,Hartwig Witte,DKSC,32,31,37 DNC*,37 DNC,137,100,35
GER,7861,Annegret Rieck,Merle Roßdeutscher,BSV,37 DNF*,37 DNS,32,37 DNF,143,106,36
