Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
USA,,Steve Benjamin,Tucker Edmundson,,,,,,,,,,1
USA,7152,Jon Andron,Howard Hamlin,,,,,,,,,,2
USA,,Bob Bainbridge,Mark Lindsay,,,,,,,,,,3
