Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Boat Name,Points Total,Points Netto,Place
USA,8841,"Alexander ""Ali"" Meller",Keanu McCarthy,Kingston YC,1,2,1,1,None,5,5,1
CAN,9042,Chris Tattersall,Bruce Clifford,Mississauga Sailing Club,2,1,4,2,Rocinante,9,9,2
CAN,8410,Shona Moss Lovshin,Devlin Lovshin,NSC,3,3,2,3,None,11,11,3
USA,8850,Douglas Watson,Alex Taylor,OHCC,4,SRS - 3,3,5,Dr. Crash,15,15,4
CAN,9138,Marek Baliński,Luis Rodriguez,OHCC ,5,5,5,4,None,19,19,5
CAN,8753,Conor Morrison,Drake Morrison,OHCC / 505,6,4,DNC - 8,6,Road Trip,24,24,6
CAN,8951,Joshua Abush,Alvaro Rodriguez,EYC,7,6,DNC - 8,7,Romeo,28,28,7
