Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
CAN,8821,Luke Strickland,Christian Voyer,NSC,[4],4,3,2,2,2,17,13,1
USA,8856,Ethan Bixby,Ted Huebner,SPSC,3,3,2,3,[10],4,25,15,2
USA,8930,Duane Delfosse,Mike Hull,LSYC,[10],1,6,1,1,8,27,17,3
CAN,8467,Jeff Boyd,Danielle Boyd,KYC,2,5,1,[6],6,3,23,17,4
USA,8854,Craig Thompson,Adam Wolnikowski,PYC / NYYC,[7],7,4,4,4,5,31,24,5
CAN,8841,Alexander “Ali” Meller,Devlin Lovshin,KYC,5,2,11,[15],8,1,42,27,6
CAN,8410,Evania Lovshin,Stephen Lovshin,NSC,1,9,7,[13],9,11,50,37,7
CAN,8600,Marie Gendron,David Brown,NSC,11,6,[17],9,3,9,55,38,8
CAN,8850,Douglas Watson,Yunus Akcor,OHCC,8,10,5,5,13,[14],55,41,9
USA,9172,Paul Scoffin,Jason Breeden,NYCSD,9,8,9,8,7,[12],53,41,10
CAN,8442,Thomas Adolph,Stephen Adolph,NSC,6,[13],10,12,5,10,56,43,11
CAN,8264,Dylan Tredger,Matthew Aldous-Horne,OHCC,13,11,8,7,[15],6,60,45,12
CAN,9186,Shona Moss Lovshin,Louis Hupe,NSC,[21 DNC],15,14,16,11,7,84,63,13
CAN,8696,Deborah Ashby,David Adams,NSC,14,[18],12,11,12,16,83,65,14
CAN,7876,Kyber Lovshin,Chloé Grondin,NSC,12,16,13,10,17,[19],87,68,15
CAN,7776,Robert Voyer,Larry Strickland,NSC,15,14,15,18,[20],15,97,77,16
CAN,8610,Shona Weldon,Michael Wonnacott,NSC,17,17,16,17,[19],17,103,84,17
CAN,7605,Renka Gesing,Adam Gesing,KYC,16,12,[21 DNC],21 DNC,18,18,106,85,18
CAN,8753,Conor Morrison,Drake Morrison,OHCC,18,19,18,14,16,[21 NSC],106,85,19
CAN,9138,Marek Baliński,Joshua Abush,OHCC,[21 DNC],21 DNC,21 DNC,21 DNC,14,13,111,90,20
