Nation,Sail No,Helm,Crew,,R1,R2,R3,R4,R5,Helm Nation,Crew Nation,Total,Nett,Rank
GBR,9240,Nathan Batchelor,Nathan Batchelor,,(6.0),1.0,1.0,2.0,3.0,GBR,GBR,13.0,7.0,1st
USA,9245,Stuart McNay,Caleb Paine,,(7.0),5.0,2.0,1.0,1.0,USA,USA,16.0,9.0,2nd
USA,9072,Mike Holt,Rob Woelfel,,5.0,(26.0),4.0,5.0,8.0,USA,USA,48.0,22.0,3rd
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,,1.0,6.0,(79.0 DNC),7.0,18.0,GER,GER,111.0,32.0,4th
GER,9241,Wolfgang Hunger,Holger Jess,,9.0,10.0,(79.0 DNC),10.0,5.0,GER,GER,113.0,34.0,5th
USA,9080,Morgan Pinckney,Garrett Brown,,18.0,11.0,5.0,(29.0),2.0,USA,USA,65.0,36.0,6th
USA,9153,Howard Hamlin,Jeff Nelson,,3.0,(34.0),6.0,12.0,16.0,USA,USA,71.0,37.0,7th
USA,9091,Andy Beeckman,Reeve Dunne,,(21.0),19.0,3.0,6.0,10.0,USA,USA,59.0,38.0,8th
AUS,8801,Peter Nicholas,Luke Payne,,11.0,4.0,12.0,(23.0),11.0,AUS,AUS,61.0,38.0,9th
GER,9182,Alexander Holzapfel,Arne Wittemer,,8.0,8.0,(36.0),9.0,20.0,GER,GER,81.0,45.0,10th
SWE,9181,Malin Broberg,Johan Röök,,10.0,2.0,25.0,13.0,(34.0),SWE,SWE,84.0,50.0,11th
USA,9106,Mike Martin,Adam Lowry,,16.0,14.0,14.0,(28.0),7.0,USA,USA,79.0,51.0,12th
USA,9004,Nic Baird,Eric Anderson,,2.0,(37.0),15.0,15.0,22.0,USA,USA,91.0,54.0,13th
GBR,9214,Andy Smith,Stewart Mears,,13.0,(30.0),16.0,19.0,6.0,GBR,GBR,84.0,54.0,14th
USA,9102,Douglas Hagan,Paul VonGrey,,12.0,31.0,8.0,(47.0),4.0,USA,USA,102.0,55.0,15th
IRL,9039,Ewen Barry,Charles Dwyer,,14.0,3.0,(28.0),20.0,28.0,IRL,IRL,93.0,65.0,16th
USA,8786,Luke Ingalls,John Ingalls,,25.0,(32.0),13.0,18.0,9.0,USA,USA,97.0,65.0,17th
USA,9208,A.J. Conrads,Blaine Pedlow,,15.0,(43.0),9.0,22.0,21.0,USA,USA,110.0,67.0,18th
GBR,9180,Mark Upton-Brown,Ian Mitchell,,4.0,20.0,(34.0),26.0,19.0,GBR,GBR,103.0,69.0,19th
GER,9185,Stefan Boehm,Gerald Roos,,20.0,7.0,24.0,(37.0),32.0,GER,GER,120.0,83.0,20th
USA,9237,Bruce Edwards,Richard Mundell,,(79.0 DNC),16.0,17.0,33.0,17.0,USA,CAN,162.0,83.0,21st
USA,8864,Miles Johannessen,Paul Pihl,,(44.0),21.0,23.0,16.0,24.0,USA,USA,128.0,84.0,22nd
GBR,9093,Alex Barry,Richard Leonard,,26.0,24.0,10.0,(31.0),26.0,IRL,IRL,117.0,86.0,23rd
GBR,9238,Ian Pinnell,Carl Smit,,(35.0),35.0,29.0,11.0,12.0,GBR,USA,122.0,87.0,24th
USA,9142,Mike Punnett,Keahi Ho,,22.0,15.0,38.0,(40.0),14.0,USA,USA,129.0,89.0,25th
GER,9169,Tim Böger,Finn Böger,,(30.0),28.0,21.0,14.0,27.0,GER,GER,120.0,90.0,26th
AUS,9191,Malcolm Higgins,Nick Johnston,,24.0,(46.0),22.0,21.0,33.0,AUS,AUS,146.0,100.0,27th
GER,9197,Nicola Birkner,Angela Stenger,,38.0,40.0,19.0,8.0,(41.0),GER,GER,146.0,105.0,28th
SWE,9187,Jonas Berntsson,Magnus Lundberg,,29.0,(47.0),18.0,27.0,35.0,SWE,SWE,156.0,109.0,29th
GBR,8991,Nicholas Meadow,James Read,,28.0,(45.0),20.0,35.0,29.0,GBR,GBR,157.0,112.0,30th
AUS,9225,Earle Alexander,Angus Higgins,,27.0,36.0,11.0,(52.0),39.0,AUS,AUS,165.0,113.0,31st
CAN,9138,Michael Quirk,Tim Needham,,19.0,13.0,7.0,(79.0 DNC),79.0 DNC,AUS,GBR,197.0,118.0,32nd
RSA,8955,Peter Funke,Thomas Funke,,41.0,18.0,27.0,(46.0),36.0,RSA,RSA,168.0,122.0,33rd
AUS,9204,Chris Gregg,Ian Gregg,,23.0,(48.0),26.0,34.0,43.0,AUS,AUS,174.0,126.0,34th
RSA,9063,James Largier,Richard Hutton-Squire,,42.0,42.0,(79.0 DNC),30.0,13.0,RSA,RSA,206.0,127.0,35th
IRL,8987,Peter Scannell,John Dunlea,,17.0,27.0,45.0,38.0,(56.0),IRL,IRL,183.0,127.0,36th
GBR,9229,Michael Wilson,Phil Hardisty,,43.0,9.0,35.0,41.0,(49.0),GBR,GBR,177.0,128.0,37th
GBR,8963,Martin Hodgson,Adrian Miles,,32.0,12.0,42.0,(49.0),44.0,GBR,GBR,179.0,130.0,38th
GER,9070,Stefan Koechlin,Andreas Achterberg,,40.0,17.0,37.0,44.0,(79.0 DNC),GER,GER,217.0,138.0,39th
GER,9231,Stefan Giesler,Frank Böhm,,(79.0 DNC),23.0,30.0,45.0,40.0,GER,GER,217.0,138.0,40th
SUI,9060,Catherine Houriet,Gil Donzé,,45.0,(49.0),31.0,25.0,37.0,SUI,SUI,187.0,138.0,41st
AUS,9134,Jeffrey Robinson,Adam Wyatt,,47.0,22.0,47.0,24.0,(51.0),AUS,AUS,191.0,140.0,42nd
GBR,9105,James McGillivray,Matthew George,,39.0,29.0,44.0,43.0,(48.0),GBR,GBR,203.0,155.0,43rd
USA,8930,Duane Delfosse,Mike Hull,,36.0,(44.0),41.0,36.0,42.0,USA,USA,199.0,155.0,44th
AUS,9110,Mark Stowell,Jake Bessen,,31.0,(51.0),33.0,48.0,47.0,AUS,AUS,210.0,159.0,45th
CAN,9200,Alexander Meller,Fiona Collins,,(79.0 DNC),33.0,79.0 RET,32.0,31.0,CAN,GBR,254.0,175.0,46th
USA,9083,Aaron Ross,Rob Waterman,,(79.0 DNC),50.0,40.0,56.0,30.0,USA,USA,255.0,176.0,47th
GBR,9232,Steve Irish,Norman Byrd,,(79.0 DNC),79.0 DNC,79.0 DNC,4.0,15.0,GBR,GBR,256.0,177.0,48th
GBR,8306,David Batchelor,Ben Batchelor,,56.0,25.0,43.0,54.0,(79.0 DNS),GBR,GBR,257.0,178.0,49th
GBR,9215,Roger Gilbert,Ben McGrane,,(79.0 DNC),79.0 DNC,79.0 DNC,3.0,23.0,GBR,GBR,263.0,184.0,50th
GBR,9036,Martin Wedge,Graham Elliot,,34.0,57.0,46.0,(60.0),54.0,GBR,GBR,251.0,191.0,51st
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,,(79.0 DNC),39.0,32.0,42.0,79.0 DNC,DEN,DEN,271.0,192.0,52nd
GBR,9178,Chris Lewns,Jack Kilburn,,(79.0 DNC),79.0 DNC,79.0 DNC,17.0,25.0,GBR,GBR,279.0,200.0,53rd
FRA,9150,Valentin Dechauffour,Pierre Gendry,,33.0,38.0,54.0,(79.0 DNC),79.0 DNC,FRA,FRA,283.0,204.0,54th
AUS,92*,Ian Brown,Tom Olsen,,46.0,41.0,39.0,(79.0 DNC),79.0 DNC,AUS,USA,284.0,205.0,55th
USA,8753,Ryan Nelson,Michael Bishop,,49.0,52.0,49.0,57.0,(79.0 DNC),USA,USA,286.0,207.0,56th
GBR,8510,Dylan Wells,Harry Clarke,,50.0,55.0,50.0,(61.0),57.0,GBR,GBR,273.0,212.0,57th
IRL,8905,Charles McCarthy,Barry OConnor,,52.0,54.0,(79.0 DNC),58.0,50.0,IRL,IRL,293.0,214.0,58th
AUS,9071,Richard Hyde,Lindsay Gilbert,,51.0,58.0,51.0,(59.0),55.0,AUS,AUS,274.0,215.0,59th
IRL,7875,Ian O'Leary,Matt Merchant,,53.0,59.0,52.0,(62.0),53.0,IRL,USA,279.0,217.0,60th
GER,9123,Enno Wilts,Martin Leitner,,54.0,60.0,55.0,(63.0),58.0,GER,SWI,290.0,227.0,61st
FRA,9164,Jacques Dechauffour,Sabine Dechauffour,,55.0,53.0,48.0,(79.0 DNC),79.0 DNC,FRA,FRA,314.0,235.0,62nd
FRA,8895,Nicolas Michel,Michel Laurent,,48.0,56.0,53.0,(79.0 DNC),79.0 DNC,FRA,FRA,315.0,236.0,63rd
USA,9228,Craig Thompson,Paddy Lewis,,(79.0 DNC),79.0 DNC,79.0 DNC,39.0,46.0,USA,GBR,322.0,243.0,64th
IRL,9011,John Downey,Sandy Rimmington,,37.0,(79.0 DNC),79.0 DNC,50.0,79.0 DNC,IRL,IRL,324.0,245.0,65th
GBR,8935,Michael Sims,Carl Gibbon,,(79.0 DNC),79.0 DNC,79.0 DNC,51.0,38.0,GBR,GBR,326.0,247.0,66th
IRL,7771,Brian Jones,Gary Frost,,(79.0 DNC),79.0 DNC,79.0 DNC,55.0,52.0,IRL,IRL,344.0,265.0,67th
GBR,8867,Patrick McGale,Sam Bird,,(79.0 DNC),79.0 DNC,79.0 DNC,64.0,59.0,GBR,GBR,360.0,281.0,68th
IRL,8929,Colin Barry,Ronan O'Driscoll,,(79.0 DNC),79.0 DNC,79.0 DNC,79.0 DNC,45.0,IRL,IRL,361.0,282.0,69th
IRL,8857,Chris Bateman,Paul O'Sullivan,,(79.0 DNC),79.0 DNC,79.0 DNC,53.0,79.0 DNC,IRL,IRL,369.0,290.0,70th
IRL,7440,Denis O'Sullivan,Jan Van de Puil,,(79.0 DNC),79.0 DNC,79.0 DNC,79.0 DNC,79.0 DNC,IRL,IRL,395.0,316.0,71st
IRL,8552,Michael O'Brien,Sandy O'Brien,,(79.0 DNC),79.0 DNC,79.0 DNC,79.0 DNC,79.0 DNC,IRL,IRL,395.0,316.0,71st
GBR,8708,Martin Goult,Tim Octon,,(79.0 DNC),79.0 DNC,79.0 DNC,79.0 DNC,79.0 DNC,GBR,GBR,395.0,316.0,71st
FRA,9218,Bertrand Commeil,Louis Commeil,,(79.0 DNC),79.0 DNC,79.0 DNC,79.0 DNC,79.0 DNC,FRA,FRA,395.0,316.0,71st
FRA,9220,Philippe Boite,Marin Carnot,,(79.0 DNC),79.0 DNC,79.0 DNC,79.0 DNC,79.0 DNC,FRA,FRA,395.0,316.0,71st
FRA,9210,Elisabeth Neidhart,Pierre Jean Gallo,,(79.0 DNC),79.0 DNC,79.0 DNC,79.0 DNC,79.0 DNC,FRA,FRA,395.0,316.0,71st
FRA,9211,Charles-Antoine de Joux,,,(79.0 DNC),79.0 DNC,79.0 DNC,79.0 DNC,79.0 DNC,FRA,0,395.0,316.0,71st
GER,9198,Lena Stückl,Johannes Tellen,,(79.0 DNC),79.0 DNC,79.0 DNC,79.0 DNC,79.0 DNC,GER,GER,395.0,316.0,71st
