Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.
GER,9040,Norbert Dasenbrook,Sven Meier,KSW,3,2,1,,1
GBR,8825,Michael Troch,Karsten Stümpel,SGJ,2,4,2,,2
GBR,9182,Alexander Holzapfel,Stefan Worm,PSVK,1,1,8,,3
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,8,3,4,,4
GER,9151,Walter Steding,Hans-Werner Steding,HSC,4,5,6,,5
GER,8934,Frank Beyer,Hubertus Ritter,,7,8,3,,6
GER,9000,Julia Trusen,Thorsten Pösch,SVBS,10,6,5,,7
GER,9169,Tim Böger,Nina Krell,HSC,5,DNF,7,,8
GER,8317,Christina Burger,Max Neubert,WSCW,6,9,11,,9
GER,8932,Christian Henge,Katja Henge,OSG,DNC,7,9,,10
GER,8901,Andre Tirre,Frank Wille,YCS,9,10,10,,11
GER,9121,Anna Lienau,Mieke Klein,,0,11,12,,12
