Nation,Boot,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Pl.
GER,9146,Thure Gnadeberg,Aron Tellen,BSV,1,2,3,OCS,2,,1
GER,9169,Tim Böger,Finn Böger,HSC,2,1,4,2,4,,2
GER,8825,Michael Troch,Geeske Genrich,SGJ,6,10,1,6,1,,3
GER,9152,Anika Wollenbecker,Raik Wollenbecker,YCBG,7,4,2,4,8,,4
GER,9113,Joseph Schütte,Karsten Stümpel,,4,7,5,5,3,,5
GER,9040,Norbert Dasenbrook,Sven Meier,KSW,3,6,11,3,7,,6
GER,9171,Stefan Giesler,Frank Böhm,VSAW,5,3,6,10,9,,7
GER,9066,Peter Gerdts,Christian Labenz,HSC,8,5,10,1,13,,8
GER,8903,Steve Kwee,Alena-Larissa Wilkens,HSC,10,8,12,7,5,,9
GER,952*,Wilhelm Wollenbecker,Hermann Wollenbecker,YB,12,9,8,OCS,6,,10
GER,8531,Anna Lienau,Max Rauner,,9,11,7,9,10,,11
GER,8370,Felix Graff,Stephan Graff,SLRV,11,12,9,8,11,,12
GER,8428,Christian Lempp,Marius Wolff,HSC,14,13,14,11,12,,13
GER,8317,Christina Burger,Axel Dierich,WSCW,13,DNF,13,DNF,14,,14
