Nation,Sail No,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Pos
USA,8191,Nelson,Alarie,,0.75,3,6*,6,0.75,10.5,1
CAN,8263,Meller,Fry,,2,6,0.75,3,8*,11.75,2
USA,8013,Punnet,Ikle,,6,0.75,7*,0.75,5,12.5,3
USA,7201,Howard Hamlin,Steve Rosenberg,,3,4,4,5*,3,14,4
CAN,8264,Jeff Boyd,Gord McIlwham,,10*,2,3,4,6,15,5
USA,7772,Mark Mendelblatt,Flynn,,9,7,2,2,10*,20,6
USA,7318,Trotman,Mills,,5,5,10,31*,2,22,7
USA,8060,Breault,Hartman,,4,17*,12,7,4,27,8
USA,8439,Dohan,Beardslee,,8,8,9,10,11*,35,9
CAN,8442,Morrin,Steve Yates,,7,9,8,16,12*,40,10
,,,,,,,,,,,11
,,,,,,,,,,,12
,,,,,,,,,,,13
,,,,,,,,,,,14
,,,,,,,,,,,15
,,,,,,,,,,,16
,,,,,,,,,,,17
,,,,,,,,,,,18
,,,,,,,,,,,19
,,,,,,,,,,,20
,,,,,,,,,,,21
,,,,,,,,,,,22
,,,,,,,,,,,23
,,,,,,,,,,,24
,,,,,,,,,,,25
,,,,,,,,,,,26
,,,,,,,,,,,27
,,,,,,,,,,,28
,,,,,,,,,,,29
,,,,,,,,,,,30
,,,,,,,,,,,31
,,,,,,,,,,,32
,,,,,,,,,,,33
,,,,,,,,,,,34
,,,,,,,,,,,35
