Ident,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew Club,Brutto,Netto,
FRA,9075,Philippe Boite,Erwan Grossmann,C V ST QUENTIN,1,4*,1,1,1,1,LES GLENANS,9,5,1
FRA,8975,Alexander Holzapfel,Dirk Ipach,PSVK -,7,13*,3,2,3,2,,30,17,2
FRA,8683,Antoine Lafortune,Chloe Lafortune,C V SEINE-PORT,2,3,2,6,4,7*,C V SEINE-PORT,24,17,3
FRA,8716,Aline Martin,David de Monteil,C V SEINE-PORT,5,1,4,7*,7,4,C V SEINE-PORT,28,21,4
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,12*,6,5,4,9,5,Y C Grenoble Chara,41,29,5
BEL,9066,Geert de Pauw,Koen Jourquin,NWV -,6,11*,6,3,11,8,,45,34,6
FRA,8847,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE,9,7,9,12*,6,3,C N HAUTE SEINE,46,34,7
SUI,9060,Catherine Houriet,Donzé Gil,SUISSE -,11,2,14*,5,10,9,,51,37,8
FRA,9068,François de Lisle,Herve Brillaud,C N FERRET,13*,9,10,10,2,6,C N FERRET,50,37,9
FRA,8820,Thibault Di Pede,Fabrice Toupet,C V SEINE-PORT,10,5,8,9,5,24 DNF*,C V SEINE-PORT,61,37,10
FRA,8729,Baptiste Lafortune,Jordane Lafortune,C V SEINE-PORT,3,10,7,13,8,11,C V SEINE-PORT,52,39,11
FRA,9010,Bastian le Morvan,Marie Nowak,ASPTT TROYES,4,8,12,11,13,14*,C N HAUTE SEINE,62,48,12
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,C.V.M.L,8,14*,11,8,12,10,C.V.M.L,63,49,13
FRA,8429,Jean Charles Zimmowitch,Romaric Zimmowitch,club VIRTUAL REGATTA,14,12,13,14,17,18*,V G A ST MAUR VOILE,88,70,14
FRA,4479,Jean-Charles Cadoret,Pascal Coquelet,USMM Section voile,15,18,15,21*,20,12,USMM Section voile,101,80,15
BEL,9064,Philippe Vandersteen,Florian Bougeault,BELGIQUE,18,20*,17,16,18,13,DAUPHINS WIND JOCON.,102,82,16
FRA,8748,Samuel Carvallo,Sebastien Rauly,C N HAUTE SEINE,16,16,16,20*,19,15,C N HAUTE SEINE,102,82,17
FRA,8969,Thomas Pype,Romain Delmotte,C V VALENCIENNES,21*,17,18,15,16,16,C V VALENCIENNES,103,82,18
GER,8052,Juergen Feuerhake,Anne Nehrenberg,SAARBRUCKEN -,20,15,19,19,15,24 DNF*,,112,88,19
FRA,8699,Bruno Vaniekaut,Roger Chabaud,CV DAVE,17,19,21*,18,21,19,C V VALENCIENNES,115,94,20
FRA,8880,Emmanuel Mouclier,Jean-Paul Lozouet,C.V.M.L,24 DNF*,24 DNS,24 DNF,17,14,17,C .V. de PARIS,120,96,21
FRA,9031,Jean Christophe Plateaux,Christophe Tezier,C N HAUTE SEINE -,19,21,20,24 OCS*,22,20,,126,102,22
FRA,8436,Louis Bachelot,Henri Morteau,C N HAUTE SEINE,24 DNF*,22,22,22,24 DNF,24 DNS,C N HAUTE SEINE,138,114,23
