Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Crew Club,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Erwan Grossmann,CVSQ,2,5,1,1,1,1,,LES GLENANS,11,6,1
GER,9023,Sophie Söllner,Max Eisenrieder,CYT GER,1,1,2,2,[8],2,,,16,8,2
FRA,9056,Yves Niddam,Alain Tosello,YC BEAULIEU,3,3,5,4,2,[DNC 16],,LES VOILES D'ANTIBES,33,17,3
FRA,8716,Aline Martin,David de Monteil,CV SEINE PORT,7,2,4,8,4,[OCS 16],,CV SEINE PORT,41,25,4
FRA,9012,Melissa Ferrois,Arnaud Dini,YCPR,5,6,3,[14],5,6,,YCPR,39,25,5
FRA,9098,Michel Delsemme,Marc Pajot,SNST,6,[8],8,3,7,4,,SNST,36,28,6
FRA,9024,Kleber Valery,Nicolas Auberger,YC GRENOBLE CHARA.,[10],10,9,5,3,5,,YC GRENOBLE CHARA.,42,32,7
BEL,8536,Oliver Ponthieu,Harald Van Exem,SRA,4,4,7,6,[DNC 16],[OCS 16],,YC BEAULIEU,53,37,8
FRA,8773,Gaël Conversy,Christian Simonnot,YC BEAULIEU,9,[12],10,7,10,3,,YC TOULON,51,39,9
FRA,8402,Loïc Bleuez,Frederic Roucayrol,YC BEAULIEU,8,7,[11],10,11,9,,YC BEAULIEU,56,45,10
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,CVML,12,13,6,9,6,[DNC 16],,CVML,62,46,11
FRA,8943,Philippe Markt,Delphine Markt,YC BEAULIEU,11,11,12,12,9,[OCS 16],,YC BEAULIEU,71,55,12
FRA,8704,Lawrence Banahan,David Denis,CNSR,[14],14,13,11,12,7,,VAR MER,71,57,13
FRA,8834,Eric Verplanken,Gilles Casanova,YC BEAULIEU,13,9,14,13,[DNC 16],8,,VAR MER,73,57,14
FRA,9067,Dominique Rouanne,Virginie Laurent,YC DE CAVALAIRE,15,[DNF 16],DNC 16,DNC 16,DNC 16,DNC 16,,YC DE CAVALAIRE,95,79,15
