Nation,Boat no,Coureurs / Équipage,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Crew club,points,place
FRA,8716,Martin Aline,De Monteil David,C V SEINE-PORT,1,2,7,1,5,6,3,1,1,7,C V SEINE-PORT,27,1
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,5,1,1,3,10,4,1,3,8,1,C V BORDEAUX C M,27,2
FRA,8820,Di Pede Thibault,Toupet Fabrice,C V SEINE-PORT,3,6,4,4,1,1,6,2,3,5,C V SEINE-PORT,29,3
FRA,8870,Silvestre Christian,Gendry Pierre,Y C ILE DE FRANCE,6,4,2,10,3,5,4,5,2,2,S N O NANTES,33,4
FRA,,Guillou Nicolas,Ferec Alain,S N P H,4,8,6,2,2,10,9,8,5,3,S N P H,47,5
FRA,,Gubri Serge,Viaud Pascal,C V SEINE-PORT,DNF,9,8,5,9,2,2,6,4,4,S R ROCHELAISES,49,6
FRA,9084,Dechauffour Jacques,Dechauffour Sabine,S N O NANTES,9,5,3,9,4,8,8,4,6,9,S N O NANTES,56,7
FRA,,Michel Nicolas,Michel Laurent,C V A N NANTES,2,3,5,6,8,3,DNF,DNF,DNF,DNF,C V A N NANTES,63,8
FRA,9068,François de Lisle,Brillaud Herve,C N FERRET,7,7,9,8,7,7,7,7,DNF,6,C N FERRET,65,9
FRA,9086,Gougeon Matthieu,Lafortune Jordane,CVML,8,10,11,7,6,9,5,9,7,8,C V SEINE-PORT,69,10
FRA,,Michel Marion,Dechauffour Anais,C V A N NANTES,DNF,11,10,11,DNF,11,10,10,DNF,DNF,S N O NANTES,99,11
