Nation,Boat No,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Crew Club,points,Place
FRA,9075,Philippe Boite,Erwan Grossmann,CVSQ,2,1,1,6,LES GLENANS,4,1
FRA,8716,Aline Martin,David De Monteil,C V SEINE-PORT,1,10,2,5,C V SEINE-PORT,8,2
GER,8975,Alexander Holzapfel,Jordane Lafortune,PSVK GER,3,4,3,3,C V SEINE-PORT,9,3
SUI,8954,Caroline Jacot,Ohilippe Jacot,CVN SUI,6,5,18,1,,12,4
FRA,9056,Alain Tosello,Yves Niddam,LES VOILES D ANTIBES,11,3,4,7,Y C BEAULIEU,14,5
FRA,8900,Serge Gubri,Pascal Viaud,C V SEINE-PORT,4,2,12,DSQ,S R ROCHELAISES,18,6
SUI,9060,Catherine Houriet,Gil Donze,YCG SUI,7,6,5,11,,18,7
SUI,8954,Florian Stauffer,Valery Jacot,SUI,17,8,8,4,,20,8
FRA,9099,Alain Karadjian,Cedric Bart,CVSQ,13,7,16,2,,22,9
FRA,9099,Elisabeth Neidhart,Matthieu Gougeon,CVML,8,11,7,10,CVML,25,10
FRA,8676,Valentin Dechauffour,Pierre Gendry,S N O NANTES,5,13,11,13,S N O NANTES,29,11
FRA,8276,Claude Lafortune,Adrien Lafortune,C V SEINE-PORT,15,19,6,8,C V SEINE-PORT,29,12
FRA,8820,Thibault Di Pede,Fabrice Toupet,C V SEINE-PORT,9,12,19,9,C V SEINE-PORT,30,13
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,10,9,17,12,YC Grenoble Chara.,31,14
FRA,9019,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,22,18,9,14,A C D'ALSACE LORRAIN,41,15
FRA,8677,Nicolas Michel,Benoit Tellier,C V A N NANTES,16,15,10,18,C V VALENCIENNES,41,16
FRA,8705,Luc Vocanson,Thierry Muniglia,CVML,14,24,13,19,CVML,46,17
FRA,8032,Riwanon Le Roy,Jean Claude Ancelot,ASN QUIBERON,19,17,14,15,ASN QUIBERON,46,18
FRA,9068,François de Lisle,Herve Brillaud,C N FERRET,20,14,15,17,C N FERRET,46,19
FRA,9084,Jacques Dechauffour,Sabine Dechauffour,S N O NANTES,23,16,23,16,S N O NANTES,55,20
FRA,8429,Jean Charles Zimmowitch,Romaric Zimmowitch,VIRTUAL REGATTA YC,12,25,22,23,V G A ST MAUR VOILE,57,21
FRA,8895,Paul Bendiyan,Georges Bendiyan,A C D'ALSACE LORRAIN,18,23,24,20,A C D'ALSACE LORRAIN,61,22
GER,8052,Jurgen Feuerhake,Anne Nehrenberg,S003 GER,26,21,21,22,,64,23
FRA,8484,Philippe Blanchard,Daniel Blanchard,A C D'ALSACE LORRAIN,27,20,20,25,A C D'ALSACE LORRAIN,65,24
FRA,9081,Robert Lehmann,Bernard Edel,A C D'ALSACE LORRAIN,24,22,25,21,A C D'ALSACE LORRAIN,67,25
FRA,9033,Patrice Hue,Nayl Driss,N D C V ANGERS,21,DNF,27,26,CROCODILES L ELORN,74,26
FRA,8491,Marion Michel,Yoann Lapijover,C V A N NANTES,25,26,26,24,S N O NANTES,75,27
FRA,0,Vincent Duhamel,Severine Duhamel,C V CAZAUX LAC,28,27,28,27,C V CAZAUX LAC,82,28
FRA,0,Jean Claude Loiseau,Jean-Luc Lacaze,C V HOURTIN MEDOC,29,30,31,28,C V CAZAUX LAC,87,29
FRA,0,Maurice Teyssier,David Teyssier,C V SANGUINET,DNF,28,29,DSQ,C V SANGUINET,89,30
FRA,0,Daniel Lutaud,François Cassagneau,Cercle Nautique Evry,30,29,30,DSQ,C V CAZAUX LAC,89,31
