Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Crew Club,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Erwan Grossmann,CVSQ,2,[3],1,1,1,1,1,2,,12,9,1
FRA,9076,Bertrand Loyal,Nicolas des Jamonières,C N MESCHERS,6,1,3,2,[7],2,2,1,SNPH,24,17,2
FRA,8948,Nicolas Guillou,Alain Ferec,SNPH,3,[6],6,4,3,3,3,4,SNPH,32,26,3
FRA,8904,Nicolas Martin,Julien Lafortune,CV SEINE PORT,7,2,4,[8],2,5,4,6,CV SEINE PORT,38,30,4
GER,8975,Alexander Holzapfel,Stefan Worm,,4,5,[8],3,5,4,6,3,,38,30,5
FRA,8820,Thibault Di Pède,Fabrice Toupet,CV SEINE PORT,1,4,7,6,[10],9,7,5,CV SEINE PORT,49,39,6
FRA,8900,Serge Gubri,Pascal Viaud,CV SEINE PORT,10,8,2,7,6,[DNF 14],5,8,LA ROCHELLE NAUTIQUE,60,46,7
FRA,8870,Christian Silvestre,Nicolas Auberger,YCIF,5,9,[OCS 14],10,4,6,8,7,YC GRENOBLE CHARA.,63,49,8
FRA,8677,Nicolas Michel,Laurent Michel,CVAN NANTES,8,7,5,5,11,7,9,[DNF 14],CVAN NANTES,66,52,9
FRA,8567,Pierre-Jérôme Coulmin,Vincent Peter,OCEAN,[DSQ 14],10,10,9,8,8,10,9,WIND 14,78,64,10
FRA,8509,Bastian le Morvan,Marie Nowak,ASPTT TROYES,9,12,12,11,9,10,11,DNF 14,C N HAUTE SEINE,88,74,11
FRA,9086,Elisabeth Neidhart,Bertrand Lapeyre,CVML,11,11,9,[DNF 14],DNC 14,DNC 14,DNC 14,DNC 14,SNPH,101,87,12
BEL,9064,Philippe Vandersteen,Benoit Tellier,,12,[DNF 14],11,12,12,DNF 14,DNC 14,DNC 14,CV VALENCIENNES,103,89,13
