Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Crew Club,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Erwan Grossmann,CVSQ,1,2,1,1,[3],,LES GLENANS,8,5,1
FRA,9084,Jacques Dechauffour,Sabine Dechauffour,SNO NANTES,[6],1,5,3,6,,SNO NANTES,21,15,2
FRA,8820,Thibault Di Pede,Fabrice Toupet,CV SEINE PORT,2,5,[7],6,2,,CV SEINE PORT,22,15,3
FRA,9068,François de Lisle,Herve Brillaud,CN FERRET,3,6,2,[7],4,,CN FERRET,22,15,4
FRA,8431,Riwanon Le Roy,Jean Claude Ancelot,ASNQ,[9],4,4,2,8,,ASNQ,27,18,5
FRA,8729,Antoine Lafortune,Jordane Lafortune,CV SEINE PORT,7,3,[8],8,1,,CV SEINE PORT,27,19,6
FRA,8677,Nicolas Michel,Charles De Kergariou,CVAN NANTES,4,[7],3,5,7,,CN CARANTEC,26,19,7
FRA,8802,Bertrand Loyal,Pascal Viaud,C N MESCHERS,5,8,6,[SCP 12],5,,LA ROCHELLE NAUTIQUE,36,22,8
FRA,8676,Valentin Dechauffour,Pierre Gendry,SNO NANTES,8,9,9,[10],9,,SNO NANTES,45,35,9
FRA,8542,Philippe Leroy,Marc-Henri Guitteny,SNO NANTES,[OCS 12],10,10,9,10,,SNO NANTES,39,39,10
FRA,8455,Marion Michel,Mathieu le Gall,CVAN NANTES,10,[11],11,11,11,,,66,43,11
