Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Crew club,Boat Name,Points Total,Points Netto,Place
FRA,9075,Pierre-Jean Gallo,Philippe Boite,CVSQ,1,1,CVSQ,,,2,1
FRA,9099,Alain Karadjian,Xavier Broise,SNPH,2,2,CVSQ,,,4,2
GER,8699,Bruno Vaniekaut,Alexander Holzapfel,,4,3,,,,7,3
FRA,8948,Alain Ferec,Nicolas Guillou,SNPH,3,4,SNPH,,,7,4
FRA,8567,Vincent Peter,Pierre-Jérôme Coulmin,OCEAN,5,6,WIND 14,,,11,5
BEL,9064,Benoit Tellier,Philippe Vandersteen,SNEH BEL,6,9,CV VALENCIENNES,,,15,6
FRA,8688,Roger Chabaud,Jean-Pierre Noclain,CV VALENCIENNES,7,8,CV VALENCIENNES,,,15,7
FRA,8969,Thomas Pype,Romain Delmotte,CV VALENCIENNES,DNF,5,CV VALENCIENNES,,,21,8
FRA,8870,Aline Martin,Christian Silvestre,YCIF,DNC,7,CV SEINE PORT,,,23,9
FRA,8429,Romaric Zimmowitch,Jean Charles Zimmowitch,VIRTUAL REGATTA YC,8,DNC,VGA SAINT MAUR VOILE,,,24,10
FRA,8980,Augustin Doumic,Michel Boiry,CV PARIS,DNF,DNC,CCNC PAYS AUGE,,,32,DNA
FRA,9068,Hervé Brillaud,François de Lisle,CN FERRET,DNF,DNC,CN FERRET,,,32,DNA
FRA,9086,Jordane Lafortune,Elisabeth Neidhart,CVML,DNF,DNC,CV SEINE PORT,,,32,DNA
BEL,8880,Jean-Paul Lozouet,Emmanuel Mouclier,CVML,DNF,DNC,CV PARIS,,,32,DNA
BEL,8844,Frank Boonen,Ronald Vanthoor,,DNF,DNC,,,,32,DNA
