Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Crew Club,Points Total,Points Netto,Place
FRA,9075,Philippe Boite,Erwan Grossmann,CVSQ,[DNF 18],1,2,3,1,1,LES GLENANS,26,8,1
FRA,8716,Aline Martin,David de Monteil,CV SEINE PORT,[DNF 18],2,1,5,3,2,CV SEINE PORT,31,13,2
FRA,8870,Christian Silvestre,Benoit Moreau,YCIF,[DNF 18],3,6,1,2,3,ASPTT LA ROCHELLE,33,15,3
FRA,8431,Riwanon le Roy,Jean-Claude Ancelot,ASNQ,2,6,5,[11],6,5,ASNQ,53,24,4
FRA,8695,Jean-Guy Puissant,Line Puissantmercy,CVLTP,1,[DNF 18],DNC 18,2,4,4,CVLTP,47,29,5
FRA,8676,Valentin Dechauffour,Pierre Gendry,SNO NANTES,[DNF 18],4,4,7,10,6,SNO NANTES,49,31,6
FRA,9084,Jacques Dechauffour,Sabine Dechauffour,SNO NANTES,[DNF 18],7,3,4,7,DNF 18,SNO NANTES,57,39,7
FRA,8677,Nicolas Michel,Madeg Ciret-Lecosquer,CVAN NANTES,[DNF 18],5,OCS 18,6,5,8,CN CANCALE,60,42,8
FRA,9068,Olivier Anouil,Hervé Brillaud,SN LOCMARIAQUER,[DNF 18],8,8,13,8,7,CN FERRET,62,44,9
FRA,7190,Cyrille Girondo,Cristele Girondo,C Y V I A,3,13,10,[14],11,10,C Y V I A,79,47,10
FRA,8542,Philippe Leroy,Marc-Henri Guitteny,SNO NANTES,[DNF 18],10,7,8,13,9,SNO NANTES,65,47,11
FRA,8321,Philippe Duquesne,Cedric Huchet,SNO NANTES,[DNF 18],9,DNF 18,9,9,11,SNO NANTES,74,56,12
FRA,869*,Florian Bougeault,Laurent Bougeault,CV JOUE LES TOURS,[DNF 18],12,DNC 18,10,12,12,CV JOUE LES TOURS,82,64,13
FRA,9086,Elisabeth Neidhart,Fabrice Bouton,CVML,[DNF 18],11,9,12,DNF 18,DNC 18,LA ROCHELLE NAUTIQUE,86,68,14
FRA,8455,Marion Michel,Mathieu le Gall,CVAN NANTES,[DNF 18],DNF 18,DNC 18,15,14,13,SNO NANTES,96,78,15
FRA,6198,Jerome Delmas,Frantz Bourain,SNO NANTES,[DNF 18],DNF 18,DNF 18,DNF 18,15,14,SNO NANTES,101,83,16
FRA,8509,Bastian le Morvan,Lou Laroche,ASPTT TROYES,[DNF 18],DNF 18,DNC 18,DNC 18,DNC 18,DNC 18,LA ROCHELLE NAUTIQUE,108,90,DNA
