,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Sum,Platz
FRA,9075,Philippe Boite,Pierre-Jean Gallo,CVM,6,1,4,11,1
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,8,3,1,12,2
FRA,8773,Philippe Markt,Gael Conversy,,3,2,8,13,3
FRA,9076,Xavier Broise,Nicolas Des Jaminieres,,7,7,2,16,4
SUI,8569,Rene Betschen,Philippe Jacot,CNB,1,13,5,19,5
FRA,9024,Claude Gachet,Kleber Valery,YCG,2,11,6,19,6
FRA,9056,Alain Tosello,Yves Niddam,,4,6,10,20,7
FRA,8899,Alain Karadjan,Yann Plathier,,12,10,3,25,8
FRA,8683,Martin Peculier,Geraud Lafortune,,5,9,11,25,9
FRA,9012,Arnaud Dini,Melissa Ferrois,,9,4,13,26,10
FRA,9089,Elisabeth Neidhart,Bertrand Lapeyre,,13,8,9,30,11
FRA,9010,Gilles Carvallo,Jordane Lafortune,CNHS,10,14,7,31,12
FRA,8943,Michael Delsemme,Raphael Lebouche,ST Tropez,11,12,12,35,13
FRA,8362,Olivier Magret,Mathieu Glade,,16,5,15,36,14
FRA,8353,Eric Verplanken,Benjamin Roulant,,15,16,14,45,15
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,St Tropez,14,15,16,45,16
FRA,9014,Louis Gibert,Edith Castillon,,17,DNF 19,17,53,17
FRA,6245,Lawrenc Banahan,Nicolas Clausteres,,18,17,18,53,18
