Nat,Båtnr,Rorsman,Gast,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,SUM,#
USA,7093,Gary Knapp,Cam Lewis,,1,1,4,3,1,DNS,13.7,1
GBR,7327,Peter Colclough,Harold Barnes,,13,3,6,4,3,4,39.1,2
USA,7454,Steve Benjamin,Tucker Edmundson,,3,6,17,1,RTD,1,40.4,3
DEN,7455,Jörgen Schönherr,Anders Kaempe,,11,2,10,2,RTD,3,44.7,4
SWE,7453,Krister Bergström,Per Anders Hallberg,,5,7,7,6,2,DNS,50.7,5
USA,7100,Neal Fowler,Mark Lindsay,,20,5,5,9,RTD,2,64,6
AUS,7018,Neil Harrison,Nick Paterson,,25,RTD,2,5,7,6,68.7,7
SWE,7145,Staffan Eklund,Anders Eklund,,16,10,3,10,RTD,5,69.7,8
SWE,7351,Kalle Nilsson,Anders Avén,,10,4,9,12,8,14,71,9
GBR,7452,Lawrie Smith,Mark Simpson,,4,9,11,11,11,DNS,74,10
SWE,7296,Ebbe Rosén,Olle Wenrup,,8,12,8,7,12,9,74,11
USA,7092,John Pulverman,Duncan Skinner,,7,RTD,16,15,5,10,82,12
USA,7346,Macy Nelson,John Fry,,32,11,12,14,9,8,84,13
GBR,7383,Neil Wilmott,Paul Wilmott,,33,8,18,16,4,13,87,14
GBR,7435,John Patterson,Philip Brown,,22,14,54,18,17,7,108,15
GBR,6933,Ossie Stewart,Ray Selling,,16,13,14,17,RTD,22,112,16
USA,7152,Howard Hamlin,Jon Andron,,2,RTD,1,8,RTD,16,119,17
,,,,,,,,,,,,18
,,,,,,,,,,,,19
,,,,,,,,,,,,20
,,,,,,,,,,,,21
SWE,6718,Petter Nilsson,Claes Gustavsson,,17,20,39,35,18,28,148,22
,,,,,,,,,,,,23
,,,,,,,,,,,,24
,,,,,,,,,,,,25
,,,,,,,,,,,,26
,,,,,,,,,,,,27
,,,,,,,,,,,,28
,,,,,,,,,,,,29
,,,,,,,,,,,,30
,,,,,,,,,,,,31
,,,,,,,,,,,,32
,,,,,,,,,,,,33
,,,,,,,,,,,,34
,,,,,,,,,,,,35
SWE,7188,Stefan Eriksson,Kjell Lidman,,12,21,RTD,38,10,RTD,185,36
,,,,,,,,,,,,37
,,,,,,,,,,,,38
,,,,,,,,,,,,39
,,,,,,,,,,,,40
,,,,,,,,,,,,41
,,,,,,,,,,,,42
,,,,,,,,,,,,43
,,,,,,,,,,,,44
,,,,,,,,,,,,45
,,,,,,,,,,,,46
,,,,,,,,,,,,47
,,,,,,,,,,,,48
,,,,,,,,,,,,49
,,,,,,,,,,,,50
SWE,7297,Per Oskarsson,Lars Edström,,37,RTD,32,39,42,DNS,254,51
,,,,,,,,,,,,52
,,,,,,,,,,,,53
,,,,,,,,,,,,54
,,,,,,,,,,,,55
,,,,,,,,,,,,56
,,,,,,,,,,,,57
,,,,,,,,,,,,58
,,,,,,,,,,,,59
,,,,,,,,,,,,60
,,,,,,,,,,,,61
,,,,,,,,,,,,62
,,,,,,,,,,,,63
,,,,,,,,,,,,64
,,,,,,,,,,,,65
,,,,,,,,,,,,66
,,,,,,,,,,,,67
,,,,,,,,,,,,68
,,,,,,,,,,,,69
,,,,,,,,,,,,70
,,,,,,,,,,,,71
,,,,,,,,,,,,72
,,,,,,,,,,,,73
