Country,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,Total,Nett,Rank
RSA,9094,Peter Funke,Thomas Funke,Aeolians,[1],1,1,1,1,1,1,7,6,1st
RSA,8789,Bronwen Klaas,Warwick Ham,PSC,[6 DNC],2,2,2,2,2,2,18,12,2nd
RSA,809*,Dietmar Holm,CJ Milln,,2,[6 DNC],3 TLE,3,3,4,6 DNF,27,21,3rd
RSA,8520,Aaron Biagio,Mark Biagio,PSC,[6 DNC],6 DNC,6 DNC,6 DNC,4,3,3,34,28,4th
RSA,9016,Arend Van Wamelen,David Niemwn,PAS,[6 DNC],6 DNC,6 DNC,6 DNC,6 DNC,6 DNC,6 DNC,42,36,5th
