Country,SailNo,HelmNam,CrewNam,Club,R1,R2,R3,R4,Total,Nett,Rank
RSA,9094,Peter Funke,Thomas Funke,Aeolians / PYC,1,4,2,1,8,8,1st
RSA,8788,David Rae,Sean van Rensberg,HYC,3,1,4,2,10,10,2nd
RSA,8445,Kyle Klaas,Robert von Gruenewaldt,PSC,4,2,1,3,10,10,3rd
RSA,9026,Arin Long,Ryan Black,TSC,2,6,5,7,20,20,4th
RSA,8471,CJ Milln,Luke Wagner,LDYC,7,3,6,4,20,20,5th
RSA,8789,Bronwen Klaas,Warwick Ham,PSC,6,5,3,6,20,20,6th
RSA,8520,Mark Biagio,Aaron Biagio,PSC,5,7,7,5,24,24,7th
RSA,9063,Sean Ballantyne,Theo Yon,VYC,8,8,8,8,32,32,8th
RSA,8211,Drew Scott,Tayo Scott,KYC,9,11,9,9,38,38,9th
RSA,9016,Arend Van Wamelen,David Nieman,PSC,10,9,10,10,39,39,10th
RSA,8587,Andrew Arthur,Ian Campbell,ESC,11,10,11,11,43,43,11th
RSA,8707,Daniel Eigelaar,Andre Eigelaar,SBYC,14 DNC,14 DNC,14 DNC,14 DNC,56,56,12th
RSA,9063,Richard Hutton-Squire,Markus Progli,TSC,14 DNC,14 DNC,14 DNC,14 DNC,56,56,12th
