Nr na żaglu,Team,,Klub,R1,R2,R3,R4,netto,points,R
GER 8992,Lutz Stengel,Frank Feller,ROYC,1*,1,1,1,4,3,1
GER 9197,Nicola Birkner,Angela Stenger,VSAW,2,2,4*,1,11,7,2
GER 9146,Thure Gnadeberg,Aron Tellen,BSV,1,4*,1,2,12,8,3
GER 9182,Alexander Holzapfel,Finn Boeger,PSVK,21* DSQ,7,2,4,34,13,4
GER 9135,Jens Biederer,Johannes Kindermann,HSC,4,5,6,9* ,24,15,5
GER 9198,Volker Niedek,Johannes Tellen,BSV 07,6,1,7*,7,23,16,6
GER 9152,Anika Wollenbecker,Raik Wollenbecker,YCBTF,5,8*,5,6,24,16,7
GER 8806,Anna Hauschild,Anja Stengel,SCS,7,14*,8,11,40,26,8
GER 9000,Julia Trusen,Thorsten Pösch,SVBS,11,6,10,21* RET,48,27,9
GER 8928,Greg Wilcox,Martin Lietz,FSV03E.V,13,10,17*,5,45,28,10
SWE 8859,Tomas Franzén,Lars Lindgren,RJK,8,11,9,13* ,41,28,11
POL 8802,Dominik Ostrowski,Stefan Romanik,,10,13*,12,8,43,30,12
GER 9057,Dorothea Gebert,Ivo Vollering,JSC,14*,9,11,10,44,30,13
POL 8736,Adam Kuczyński,Andrzej Borowiak,ZKZ,9,15,16*,12,52,36,14
GER 9148,Michelle Krull,Jan Stremlow,YCST,21* UFD,12,14,16,63,42,15
GER 8254,Lars Thiel,Georg Graw,ZSV,12,18*,13,18,61,43,16
GER 8317,Christina Burger,Kim Van Assche,WSCW,15,16,18*,14,63,45,17
GER 8550,Michael Heyder,Friederike Wiedemann,SCF 1891,16,17*,15,15,63,46,18
GER 8691,Harald König,Katja Frühwald-König,SRVL-S,17,19*,19,17,72,53,19
GER 7848,Axel Dierich,Kirill Mostizki,MYCVD,18,20,20,21* DNF,79,58,20
