Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.
GER,8992,Lutz Stengel,Frank Feller,ROYC,2,3,3,2,1,,1
GER,9169,Tim Böger,Jan Reifferscheidt,HSC,3,2,1,4,2,,2
GER,9182,Alexander Holzapfel,Finn Böger,PSVK,1,DNF,4,1,4,,3
GER,9135,Jens Biederer,Hendrik Annighöfer,HSC,4,1,2,3,8,,4
GER,8806,Anna Hauschild,Anja Stengel,SCS,13,8,6,8,3,,5
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,7,6,7,5,9,,6
GER,9152,Anita Wollenbecker,Raik Wollenbecker,,6,4,5,DNF,11,,7
GER,9141,Robert Bautz,Sascha Spors,ASVR,5,9,10,DNF,5,,8
GER,9224,Konrad Otto,Martin Lietz,SGS,8,7,11,9,7,,9
GER,8958,Nicholas Melzwig,Andrew Moakes,LRV,12,12,8,7,6,,10
GER,8370,Felix Graff,Stephan Graff,SLRV,11,5,9,12,13,,11
GER,8563,Stefan Schmidt,Klaus Heeschen,SVSS,10,11,12,6,10,,12
GER,9000,Julia Trusen,Thorsten Pösch,SVBS,9,10,13,11,12,,13
GER,9148,Jan Stremlow,Mathias Jäckel,RSVM,14,14,14,10,14,,14
GER,8428,Christian Lempp,Max Rauner,HSC,15,13,15,14,15,,15
GER,9123,Enno Wilts,Jan Jürgens,SVBB,16,15,16,13,DNF,,16
