Sail,Number,Helm,Crew,Club,R1,R2,R3,R4,R5,Total,Netto,Nr
GER,9135,Jens Biederer,Geeske Genrich,HSC,1,2,3,1,-4,11,7,1
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,-7,1,2,3,2,15,8,2
GER,9066,Peter Gerdts,Christian Labenz,SVWU,-6,4,1,2,3,16,10,3
GER,8775,Jan Sell,Wiebke Gewinn,SVWS,5,5,-7,4,1,22,15,4
GER,9102,Steve Kwee,Hans-Werner Steding,HSC,4,-9,4,5,6,28,19,5
GER,8932,Christian Henge,Katharina Menge,WEISE,3,-6,6,6,5,26,20,6
GER,9131,Joern Wille,Martin Bergmann,MSC,8,3,5,(11)DNS,11 DNS,38,27,7
GER,8928,Christina Burger,Martin Lietz,WSCW,2,8,8,(11)DNF,11 DNF,40,29,8
GER,8317,Martin Bernauer,Bruno Laudage,HSC,9,7,9,(11)DNS,11 DNS,47,36,9
GER,9149,Paul Meyer,Rolf Meyer,SCED,(11)DNF,11 DNS,11 DNS,11 DNS,11 DNS,55,44,10
