,Skipper,Crew,City,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,State,Total Points,Place
USA 9080,Howard Hamlin,Andy Zinn,Long Beach,1,1,2,2,1,1,4,1,5*,CA,13,1
USA 9003,Chris Behm,Jesse Falsone,Edgewater,3,5,11,5,14*,3,3,4,4,MD,38,2
USA 9091,Ted Conrads,Jeff Nelson,Mill Valley,5,4,12,1,3,4,1,9,13*,CA,39,3
USA 8854,Craig Thompson,Mike Curtin,Rye,4,2,3,6,7,2,10*,8,8,NH,40,4
USA 9173,Tyler Moore,Rob Woelfel,Hampton,26*,11,4,3,8,6,2,2,6,VA,42,5
USA 9134,Michael Quirk,Curtis Hartmann,Kensington,10*,3,8,4,2,5,8,7,10,MD,47,6
USA 8830,Mark Zagol,Drew Buttner,Westwood,7,7,1,16*,12,8,15,5,3,MA,58,7
USA 8083,Chris Segerblom,Eric Anderson,Mountain View,9,10,13*,11,4,9,13,3,1,CA,60,8
USA 9041,Henry Amthor,Reeve Dunne,Hampton,16*,13,10,8,9,7,7,6,2,VA,62,9
USA 9007,Matthew Barry,Thomas Barrows,New York,2,6,6,10,6,10,6,17,18*,NY,63,10
USA 9095,Macy Nelson,Russell Miller,Baltimore,6,9,5,15,26*,16,5,10,9,MD,75,11
USA 9005,Thomas Kivney,Gordon Russell,.Williamstown,8,8,9,9,5,19,22*,12,11,MA,81,12
USA 8939,Michael Komar,John Ingalls,Newport,11,17,15,7,26*,15,9,11,12,RI,97,13
USA 8814,Lin Robson,,St Petersburg Beach,17,12,7,17,11,18,14,20*,19,FL,115,14
USA 8643,Barney Harris,,arlington,19,14,20*,12,10,20,16,15,17,va,123,15
USA 8930,Duane Delfosse,Stuart Park,Windham,12,19,14,26*,26,12,17,14,14,NH,128,16
USA 8913,Dan Herlihy,Jay Smith,Richmond,13,16,26*,26,26,13,12,16,15,VA,137,17
USA 8987,Peter Scannell,Tom Hurwitch,Saratoga Springs,26*,26,26,13,13,22,19,13,7,NY,139,18
USA 7359,Catherine Guiader,Chris Brady,Annapolis,18,20,18,26*,26,11,11,18,20,MD,142,19
CAN 9138,Robert Bartlewski,Marek Balinski,Toronto,21,21,16,14,26*,14,21,21,21,Ont,149,20
USA 8850,Doug Watson,Gabe Watson,Baltimore,14,18,21,26*,26,21,20,19,16,MD,155,21
CAN 8600,Marie Gendron,,St-Zotique,20,22,19,26*,26,17,18,22,26,Quebec,170,22
USA 9183,Michael Breton,,Charlestown,15,15,17,26*,26,26,26,26,26,RI,177,23
USA 7685,Bill Platt,,Madison,26*,26,26,26,26,26,26,26,26,CT,208,24
USA 9106,Mike Martin,Adam Lowry,Mill Valley,26*,26,26,26,26,26,26,26,26,CA,208,25
