Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Position
GBR,8510,Ian Barker,Ian Godfrey,H.I.S.C.,1,1,DSQ,1,2.25,1st
GBR,8511,Robin Boardman,Gareth Kelly,Glasson S.C.,3,3,1,4,6.75,2nd
GBR,8306,Clive Robinson,Gary Cawthorne,Burton S.C.,2,2,,,10,3rd
GBR,8416,Ian Montague,Jeff Kimber,Stone S.C.,,,,2,10,4th
GBR,8378,Martin Hodgeson,Paul Beasley,Stone S.C.,,,2,3,11,5th
GBR,8600,Robert Larke,Neil Fulcher,Stone S.C.,,,,,16,6th
GBR,,Mark Greaves,Lisa Reedy,,3,,,,,7
