Country,,Helmsman,,,,,,,Points,Rank
GBR,,Ian Barker,,,,,,,"146,56",1
GBR,,Geoff Carveth,,,,,,,"138,31",2
GBR,,Jeremy Robinson,,,,,,,"137,29",3
GBR,,Ian Pinnell,,,,,,,"132,3",4
GBR,,Hector Cisneros,,,,,,,"129,87",5
GBR,,Neil Fulcher,,,,,,,"129,61",6
GBR,,Robin Boardman,,,,,,,"123,94",7
GBR,,Ian Montague,,,,,,,"122,38",8
GBR,,Tim Rush,,,,,,,"120,49",9
GBR,,Richard Tew,,,,,,,"118,89",10
GBR,,Sam Neal,,,,,,,"117,40",11
GBR,,Clive Robinson,,,,,,,"113,17",12
GBR,,Paul Lovesy,,,,,,,"112,71",13
GBR,,Martin Hodgson,,,,,,,"112,58",14
GBR,,Simon Lake,,,,,,,"109,13",15
