Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
RSA,8340,Graeme Willcox,Wouter Langhout,VLC,3,1,1,[5],3,3,,16,11,1st
RSA,8520,Rudolph Holm,Dietmar Holm,PSC,2,[4],2,1,4,2,,15,11,2nd
RSA,7286,Thomas Funke,Peter Funke,PSC,[4],2,3,4,2,1,,16,12,3rd
RSA,6707,Kyle Klaas,Robert von Gruenewaldt,PSC,5,3,4,3,1,[6],,22,16,4th
RSA,8584,Hans Rogotzki,Peter Roos,PSC,1,5,5,2,[6],5,,24,18,5th
RSA,8707,Albrecht Holm,Warwick Ham,PCS,[8],7,7,6,5,4,,37,29,6th
RSA,8789,Tony Murray,Dirk Rother,PSC,6,6,6,7,[DNC 11],DNC 11,,47,36,7th
RSA,7278,Tom Fisher,Simon House,VLC,7,[DNF 11],8,DNF 11,7,DNC 11,,55,44,8th
RSA,8440,Andrew Arthur,Warren Arthur,,[DNC 11],DNC 11,9,DNF 11,DNC 11,7,,60,49,9th
RSA,4902,Michael Ettershank,,PSC,[DNC 11],DNC 11,DNC 11,DNC 11,DNC 11,DNC 11,,66,55,10th
