,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Nett,Rank
RSA,8406,Paul Willcox,Ryan Avery,VLC,6*,1,3,2,3,1,3,2,2,3,20,1
RSA,7286,Thomas Funke,Peter Funke,PSC,3,3,1,4,2,4,2,5*,1,2,22,2
RSA,8340,Graeme Willcox,Alan Haylett,WITS,2,2,5,7*,1,2,5,4,7,1,29,3
RSA,8520,Rudolph Holm,Dietmar Holm,PSC,1,4,2,1,7*,6,7,6,4,4,35,4
RSA,6707,Kyle Klaas,Robert von Gruenewaldt,PSC,4,6*,4,6,5,5,6,1,3,5,39,5
RSA,8707,Albrecht Holm,Warwick Ham,PCS,8*,7,8,3,4,3,1,3,5,7,41,6
RSA,7457,Phill Bennett,Mark Abbotts,VLC,5,8*,6,5,8,8,4,7,8,6,57,7
RSA,8789,Tony Murray,Mark Biaggio,PSC,9,11,7,12*,9,7,8,9,6,9,75,8
RSA,8618,Dirk Rother,Eddie Forster,,11,10,14*,8,10,13,9,11,10,8,90,9
RSA,4902,Bronwen Klaas,Randolph Verheij,PSC,12,14*,12,9,13,10,10,8,9,11,94,10
RSA,8584,Hans Rogotzki,Peter Roos,PSC,7,5,9,DNC*,6,9,DNC,DNC,DNC,DNC,100,11
RSA,584*,Paco Mendes,Murray Calder,WITS,13*,13,13,11,11,12,11,10,12,10,103,12
RSA,7278,Thomas Fisher,Jason Honeywell,VLC,10,12,10,13,12,11,12,12,11,DNC*,103,13
RSA,8537,Steve Hegerstrom,Pieter van der Westhuizen,PYC,DNC*,9,11,10,DNC,DNC,DNC,DNC,DNC,DNC,126,14
RSA,8440,Andrew Arthur,Warren Arthur,ESC,14,DNF*,DNC,DNC,14,14,DNC,DNC,DNC,DNC,138,15
