Nation,SAIL,Helmsman,Crew,Club,RACE 1,RACE 2,RACE 3,RACE 4,RACE 5,POINTS,PLACE
GBR,5789,Peter Colclough,Philip Brown,,"0,75","0,75","0,75",2,"0,75",3,1
GBR,5731,M. Goodwin,J. Lord,,3,2,3,"0,75",12,9,2
GBR,5089,P. White,S. Wakeford,,2,5,2,6,5,14,3
GBR,5901,P. Milanes,S. Jones,,5,9,7,9,2,23,4
FRA,5565,M. Buffet,J.Kergreis,,6,3,6,14,9,24,5=
GBR,5645,R. Lord,A. Tristram,,17,11,5,5,3,24,5=
GBR,5582,Derek Farrant,Bev Moss,,20,6,4,4,14,28,7
GBR,5875,D. White,,,14,8,8,3,16,33,8
GBR,5654,N. Willmott,P. Willmott,,7,13,18,10,4,34,9
GBR,5761,Mike Lingwood,J. Labbett,,9,4,103.00R,17,10,40,10
GBR,5014,A. Fountain,G. Carruthers,,10,7,10,16,22,43,11
GBR,5021,Robert Napier,G. Mee,,4,12,15,23,19,50,12
GBR,5709,P. Bainbridge,J. Campbell,,18,10,17,39,8,53,13
GBR,5708,R. Parker,R. Felgate,,29,15,13,11,25,64,14
GBR,5353,T. Marlow,L. Brooks,,12,20,40,15,20,67,15
GBR,4050,D. Bowles,M. Bryant,,8,16,21,24,33,69,16
BEL,5307,R. Ronsmans,M. Deeters,,19,26,22,7,24,72,17
GBR,5801,H. Bourn,T. Tregaskis,,16,18,19,20,35,73,18
GBR,4470,W. Mills,M. Fearn,,36,25,36,13,7,81,19
GBR,5375,P. Gaunce,J. Richards,,32,69,24,21,6,83,20
GBR,4767,M. Head,J. Langley,,23,24,16,28,103.00R,91,21
GBR,5733,T. Curtis,T. Hammick,,26,17,26,37,23,92,22
GBR,5226,P. Morrison,C. Dav Is,,39,28,12,25,29,94,23
GBR,4766,J. Donnelly,N. Millard,,24,22,29,22,28,96,24
GBR,5085,R. Abraham,P. Woodhead,,27,38,14,19,103.00R,98,25
GBR,5423,M. Platts,T. Lawton,,103.00R,14,9,26,52,101,26
GBR,5327,J. Eggett,K. Twinn,,37,43,28,8,38,111,27
GBR,5744,M. Lawton,W. Hartje,,44,45,11,31,26,112,28
GBR,4623,C. T-Biscoe,G. Pearse,,15,29,31,38,47,113,29
GBR,4250,G. Strong,B. Platt,,13,103.00R,48,27,30,118,30
GBR,5515,J. He Reward,N. Jones,,22,52,20,30,103.00R,124,31
GBR,5641,C. Brown,P. Meiklejohn,,25,40,23,103.00R,42,130,32
FRA,5079,A. Doloy,Sage,,35,21,75,33,46,135,33
GBR,4962,R. Vaughan,F. Kinmonth,,11,46,62,44,36,137,34
GBR,4721,R. Paddey,A. Starkie,,55,36,30,103.00R,17,138,35
GBR,4777,M. Wincer,D. Bayfield,,103.00R,49,39,12,41,141,36
GBR,5025,M. Hattemore,M. Payne,,34,23,46,52,39,142,37
GBR,4305,N. Alexander,T. Glover,,31,44,35,34,107.00N,144,38=
GBR,5501,N. Thomas,M. Irvins,,107.00N,33,33,47,31,144,38=
GBR,5048,C. Britton,A. Jones,,103.00R,37,32,36,40,145,40
GBR,4972,D. Gale,S. Crisp,,28,78,42,29,49,148,41
GBR,5812,S. Tew,D. Revill,,50,60,38,40,21,149,42
GBR,4669,L. Everitt,B. Broadhurst,,65,34,43,18,56,151,43
GBR,5051,Robin Whittle,Timothy Whittle,,30,58,27,54,44,155,44
GBR,5735,J. Parker,K. Burrough,,33,70,47,103.00R,11,161,45
GBR,5350,D. Bell,P. Willmott,,42,39,76,48,48,177,46
GBR,4101,S. Lambourne,I. Shape,,103.00R,61,61,43,13,178,47
GBR,5863,Merrileesadams,M. Botham,,21,35,60,64,107.00N,180,48=
GBR,5732,S. Turnbull,R. Anderson,,54,62,73,49,15,180,48=
GBR,5046,J. Fisher,R. Rowan,,103.00R,66,44,55,18,183,50
GBR,5716,T. Smith,B. Walker,,103.00R,54,50,50,43,197,51
GBR,5161,T. Carr,C. Pryce,,38,42,58,66,60,198,52
GBR,4790,N. Young,J. Riddett,,103.00R,48,59,62,32,201,53
GBR,5712,A. Bottomley,B. Wright,,107.00D,32,37,59,75,203,54
GBR,5396,J. Thomson,G. Holmes,,103.00R,27,34,41,103.00R,205,55
